-913.668,-42.7401,-28.2633
0.3528,0.935084,-0.0339046
-0.935642,0.352148,-0.0237962
-0.010312,0.0401178,0.999142
0,-1.6388,4.16691,-2.06983
1,-31.9906,65.9706,-1.27297
2,-33.9201,91.9322,-2.85268
3,-3.01669,6.86799,-2.07997
4,-3.94388,10.4387,-2.21003
5,-11.0323,25.7442,-0.000746139
6,-38.4765,122.436,-1.49268
7,-6.34052,14.6906,-2.47029
8,-8.02514,21.4919,-2.90039
9,-32.1007,66.1907,0.407015
10,-34.1001,92.4323,-0.572697
11,-9.95384,23.2034,-2.71064
12,-8.05218,25.3619,-2.48031
13,-11.0024,25.6642,0.629257
14,-48.2326,153.583,1.85656
16,-9.78147,26.3133,-2.29055
17,-28.3869,58.5077,1.8774
18,-40.4869,109.777,2.02674
19,-28.0965,57.9177,-4.12257
20,-29.558,94.0288,-5.73198
21,-11.0026,25.6642,1.60926
25,-11.0028,25.6741,3.40926
26,-9.16347,24.5927,2.12951
27,-31.5112,64.9803,-2.94292
28,-38.4062,122.246,-4.47267
32,-1.6288,4.17691,-2.06983
33,-32.0401,66.6607,-1.29297
34,-34.0091,93.1823,-2.88267
35,-2.99668,6.88798,-2.07997
36,-3.90388,10.4487,-2.21002
39,-6.2905,14.7206,-2.47029
40,-7.9451,21.5419,-2.91038
41,-28.6858,59.668,0.367379
42,-34.2091,93.7224,-0.572685
43,-9.88381,23.2334,-2.71063
44,-7.97214,25.4219,-2.4803
45,-10.9323,25.7641,0.639269
47,-24.5563,58.1749,-4.41204
48,-9.70142,26.3732,-2.29053
49,-26.0803,54.2159,1.73765
51,-28.0063,58.2176,-4.13255
53,-11.0523,26.0242,1.62926
55,-33.9389,80.4822,-4.06294
56,-24.5393,67.1549,-3.74184
57,-10.803,25.434,3.37928
59,-31.0914,64.69,-2.92287
61,-10.9134,25.724,7.46927
63,-32.951,78.1614,-1.97284
64,-1.6188,4.1769,-2.06982
65,-32.0995,67.3807,-1.30296
66,-34.1181,94.5023,-2.92265
67,-2.96668,6.88795,-2.07996
68,-3.87386,10.4687,-2.22002
69,-25.1054,60.0752,-0.00207838
71,-6.25048,14.7405,-2.47028
72,-7.87506,21.5918,-2.91037
73,-32.1597,67.5307,0.417036
74,-34.2981,94.9924,-0.58267
75,-9.80376,23.2933,-2.72062
76,-7.8921,25.4718,-2.48028
77,-26.8224,64.1965,1.59776
78,-8.39124,27.1021,0.319678
79,-24.446,58.4748,-4.43202
80,-9.63134,26.4732,-2.29052
81,-23.9933,50.3243,1.60787
83,-27.9859,58.7276,-4.16254
84,-8.37098,27.0622,-1.64032
85,-10.6328,25.2939,1.5793
87,-33.5989,80.462,-4.06289
88,-24.2893,67.2047,-3.7418
91,-31.071,65.21,-2.94285
92,-8.38105,27.0922,-0.990321
93,-10.3642,24.6535,7.14933
95,-33.0402,79.1415,-1.99284
96,-1.58879,4.18688,-2.06982
97,-32.159,68.1208,-1.31295
98,-43.5365,122.01,-3.76344
99,-2.94668,6.88794,-2.07996
100,-3.85384,10.4887,-2.22002
101,-24.9353,60.2651,-0.00204877
102,-8.27118,27.0621,-0.320305
103,-6.20047,14.7605,-2.47027
104,-7.80503,21.6418,-2.91036
105,-32.2191,68.2608,0.427044
106,-43.6168,122.21,-0.753452
107,-9.72372,23.3533,-2.7206
108,-7.80208,25.4917,-2.48027
109,-24.676,59.5949,1.48797
110,-8.28124,27.1021,0.309694
111,-12.8778,31.0057,-2.3409
112,-9.55129,26.5331,-2.30051
113,-29.7135,62.9288,2.0073
115,-27.9954,59.2676,-4.19253
116,-8.28095,27.1021,-1.64031
117,-10.5328,25.3038,1.57932
119,-33.3288,80.6117,-4.06285
120,-24.0094,67.1445,-3.73176
121,-10.5431,25.3338,3.34932
124,-8.29103,27.1221,-0.980307
127,-12.918,31.0957,-0.780908
128,-1.57879,4.18687,-2.05982
129,-32.2184,68.8808,-1.32294
130,-43.0665,122.029,-3.76337
131,-2.91666,6.90791,-2.07996
132,-3.80383,10.4986,-2.22001
133,-12.838,31.2056,-0.000893493
134,-8.18114,27.112,-0.32029
135,-6.14045,14.7904,-2.46026
136,-7.73499,21.6817,-2.91035
137,-32.2785,69.0008,0.427051
138,-43.1268,122.189,-0.753379
139,-9.6437,23.3732,-2.72059
140,-7.71204,25.5417,-2.48026
141,-12.8281,31.1556,0.769107
142,-8.20117,27.192,0.319708
143,-12.7777,31.0656,-2.34089
144,-9.45129,26.543,-2.29049
145,-23.8928,51.0142,1.6179
147,-27.8952,59.6075,-4.2125
148,-8.20088,27.182,-1.65029
151,-12.7879,31.0656,-1.56089
156,-8.22097,27.192,-0.990295
159,-12.7979,31.1056,-0.78089
160,-1.55879,4.18685,-2.05981
161,-29.3527,63.3086,-1.21264
162,-42.6064,122.069,-3.7633
163,-2.90665,6.91791,-2.07995
164,-3.76383,10.5086,-2.21
165,-33.1984,81.9316,-0.0027973
166,-8.12103,27.2419,-0.330279
167,-6.09044,14.8004,-2.46025
168,-7.66495,21.7316,-2.92033
169,-32.298,69.6908,0.427064
170,-42.6667,122.269,-0.753309
171,-9.58365,23.4331,-2.72058
172,-7.64196,25.6416,-2.49024
173,-26.282,64.7961,1.60785
175,-24.0953,59.3845,-4.47194
176,-9.35128,26.553,-2.29048
177,-27.9356,60.2374,1.9175
179,-28.0245,60.4376,-4.26251
181,-27.2904,67.2768,4.20776
