-914.842,-39.7835,-28.2443
0.328162,0.94408,-0.0319605
-0.944538,0.327496,-0.0243729
-0.012543,0.0381861,0.999192
0,-0.330381,4.38301,-2.05285
1,-16.7779,121.026,-2.18418
3,-0.806227,7.36367,-2.06417
4,-0.591132,11.0033,-2.19564
5,-3.00172,32.3976,-0.0149475
7,-1.53456,15.6845,-2.44775
8,-1.04473,22.6837,-2.89057
9,-16.8179,121.397,0.645661
10,-1.71109,39.9957,-0.247862
11,-2.49926,26.6157,-2.88246
12,0.159158,32.6319,-3.04447
13,-3.00186,32.3979,0.725052
14,0.240216,41.0233,0.442066
15,-2.98168,32.1366,-2.26484
16,-1.39212,31.7743,-2.6044
17,-4.26536,29.8997,0.845859
18,-1.70141,39.8861,0.662185
19,-12.055,86.7279,-5.63911
20,0.691408,84.2405,-4.93576
21,-3.00205,32.4084,1.86505
23,-3.0017,32.217,-1.50487
24,-1.70091,39.8849,-2.10781
25,-3.04187,32.8193,4.01487
26,-1.71146,40.1872,3.25206
29,-3.08209,33.3014,8.93466
30,-1.54822,35.7583,6.49392
31,-2.99174,32.2873,-0.7649
32,-0.320353,4.403,-2.05286
33,-13.1709,97.3511,-1.75371
34,-1.12832,27.5547,-0.812601
35,-0.786213,7.37364,-2.06417
36,-0.551132,11.0033,-2.19564
37,-2.89169,32.4175,-0.0149358
39,-1.49459,15.6645,-2.43774
40,-0.964803,22.6336,-2.88053
41,-14.1215,104.393,0.553197
42,-1.11889,27.2349,-0.162466
43,-2.39927,26.6056,-2.87244
44,0.259158,32.6318,-3.04445
45,-2.8919,32.3678,0.725085
46,2.19229,171.891,1.91818
47,-2.87159,32.1965,-2.27484
48,-1.2821,31.7841,-2.60438
49,-4.16535,29.9096,0.845873
50,-1.57129,39.9759,0.662171
51,-11.8044,87.1276,-5.65923
52,0.960286,83.4401,-4.89538
53,-2.89197,32.4682,1.86504
54,-1.57143,39.9963,1.60216
55,-2.88159,32.2968,-1.52488
56,-1.12833,27.4644,-1.45256
57,-2.96138,33.1792,4.06474
61,-2.54875,28.3501,7.59681
62,-1.22569,30.2674,5.49626
63,-2.88177,32.2671,-0.764872
64,-0.310353,4.40298,-2.05286
65,-15.9577,121.165,-2.18409
66,-1.04836,27.5245,-0.812574
67,-0.766213,7.37362,-2.06417
68,-0.511146,10.9932,-2.19563
69,-2.78169,32.4173,-0.0149158
71,-1.42459,15.6644,-2.43773
72,-0.884859,22.5935,-2.8805
73,-13.247,100.452,0.524989
74,-1.44086,40.1653,-0.247884
75,-2.31926,26.6155,-2.88243
76,0.379158,32.6316,-3.04443
77,-2.79172,32.4976,0.725049
78,2.73039,170.531,1.90884
79,-2.7912,32.4764,-2.29494
82,-1.43116,40.0657,0.672159
83,-10.5844,80.0461,-5.19607
84,1.25029,83.4397,-4.89533
85,-2.79191,32.5081,1.87504
86,-1.43146,39.9761,1.6022
87,-3.04689,35.647,-1.6763
90,-1.44157,40.1068,3.24214
93,-3.07843,36.0217,9.65354
94,-1.30794,35.968,6.53388
95,-2.77169,32.327,-0.754877
96,-0.290353,4.40295,-2.05285
98,-0.938393,27.5044,-0.812545
99,-0.736227,7.36357,-2.06416
100,-0.47116,10.9832,-2.19561
101,-2.67174,32.3871,-0.0148833
103,-1.37462,15.6443,-2.43771
104,-0.804903,22.5634,-2.87047
105,-12.6002,98.1313,0.516069
106,-1.31991,40.8452,-0.248144
107,-2.21923,26.6353,-2.88242
108,0.489216,32.6715,-3.05443
109,-2.65208,32.2374,0.725182
110,3.31982,170.12,1.89912
111,-2.90719,35.3265,-2.48614
112,-1.08119,32.4338,-2.66461
113,-9.70235,75.2979,2.16606
114,-1.29151,39.8155,0.662288
115,-7.12958,55.0019,-3.57506
117,-2.67213,32.3479,1.86513
118,-1.29158,39.8859,1.59226
119,-3.44726,42.5174,-1.99922
