-913.294,-43.6167,-28.272
0.357645,0.933228,-0.034284
-0.93379,0.356936,-0.0251516
-0.011235,0.0410095,0.999096
0,-2.21974,3.9081,-2.07133
1,-31.8566,46.6175,-0.993668
2,-32.0028,58.3474,-1.94609
3,-3.97898,6.36865,-2.08205
4,-5.39792,9.72906,-2.21291
5,-28.7666,46.8468,-0.0133419
6,-32.7302,67.3078,-0.888019
7,-8.28675,13.3999,-2.42401
8,-11.1246,20.1807,-2.92574
9,-31.9167,46.7078,0.296307
10,-32.113,58.5577,-0.396149
11,-13.4541,21.8415,-2.76636
12,-11.6135,23.7709,-2.46654
13,-14.444,23.4625,0.623185
14,-30.7816,63.2876,0.783041
15,-14.4737,23.5019,-1.92683
16,-22.2382,40.504,-3.77125
18,-32.1231,58.5681,1.13385
20,-30.1015,61.8964,-4.01659
22,-25.1872,45.9061,2.10728
23,-31.9747,52.0972,-2.85481
24,-29.0843,53.0162,-3.17465
25,-14.0445,22.8129,3.26337
29,-14.6247,23.7539,7.4431
30,-12.8245,23.3028,4.82341
31,-31.5451,51.3874,-1.41461
32,-2.19975,3.8981,-2.07132
33,-31.6366,46.6375,-0.993645
34,-32.0227,58.8674,-1.9562
35,-3.96897,6.39864,-2.09205
36,-5.36791,9.74905,-2.21291
37,-31.5151,51.7376,-0.0146771
38,-32.79,68.0279,-0.888174
39,-8.24673,13.4499,-2.44401
40,-11.0646,20.2307,-2.92574
41,-31.6967,46.7278,0.296329
42,-32.1328,59.0777,-0.406258
43,-13.3641,21.8714,-2.75636
44,-11.5235,23.8009,-2.46653
48,-22.1681,40.714,-3.78129
49,-31.6969,46.728,1.61633
50,-28.7849,52.917,1.02541
51,-30.6267,45.1566,-3.50322
52,-12.3831,25.6014,-1.65701
53,-14.3341,23.4726,1.5832
54,-28.6951,52.7373,2.41546
56,-28.8943,53.1062,-3.17464
57,-14.1444,23.1329,3.30329
59,-31.6264,46.6272,-2.30364
61,-14.7246,24.084,7.53302
63,-14.4138,23.6022,-0.646841
64,-2.18974,3.92809,-2.07133
65,-31.4066,46.6574,-0.993621
66,-28.6645,53.1264,-1.76462
67,-3.93896,6.40863,-2.09205
68,-5.3379,9.77904,-2.21291
70,-32.8497,68.7479,-0.898329
71,-8.20672,13.4899,-2.44402
72,-10.9945,20.2907,-2.92575
73,-31.4667,46.7477,0.296353
74,-28.6447,53.0767,-0.364606
75,-13.2941,21.9014,-2.75636
76,-11.4635,23.8809,-2.47654
77,-14.194,23.4224,0.613223
78,-25.7845,53.956,0.665559
79,-14.1837,23.4019,-1.91677
80,-22.088,40.9039,-3.79132
81,-31.4769,46.738,1.60635
82,-27.6354,51.2266,0.985896
83,-30.4367,45.2066,-3.50321
85,-14.2741,23.5326,1.58319
86,-24.6773,45.7059,2.08739
87,-14.2438,23.492,-1.2768
90,-25.8469,47.8868,4.4168
91,-31.3864,46.6171,-2.29361
94,-12.2447,22.6226,4.66362
96,-2.16974,3.92809,-2.07133
97,-31.2266,46.7073,-0.99361
98,-32.1223,60.0274,-1.99645
99,-3.92896,6.41863,-2.09205
100,-5.3079,9.78904,-2.21291
102,-32.8995,69.4379,-0.908477
103,-8.18671,13.5399,-2.44402
104,-10.9345,20.3206,-2.92575
105,-31.2767,46.7876,0.296368
106,-28.7145,53.6567,-0.364733
107,-13.2141,21.9414,-2.75636
108,-11.3635,23.9009,-2.46653
110,-24.9449,52.6357,0.645931
111,-14.1037,23.4318,-1.91677
112,-22.018,41.1139,-3.80135
113,-31.2968,46.8279,1.60636
114,-24.1173,45.0355,0.867591
115,-29.677,44.3964,-3.43295
116,-12.1431,25.5413,-1.64696
117,-14.0741,23.3825,1.56325
118,-30.2839,56.5878,2.58448
119,-14.1337,23.502,-1.27679
120,-31.7723,59.377,-3.53628
121,-14.2842,23.743,3.38315
122,-24.6874,46.1064,4.2373
123,-31.3663,46.9271,-2.30367
127,-14.1538,23.5321,-0.636795
128,-2.15973,3.93809,-2.07133
129,-31.2065,47.0573,-0.993679
130,-32.1621,60.6374,-2.00658
131,-3.90896,6.43862,-2.09205
132,-5.27789,9.80903,-2.21291
133,-14.0939,23.6222,-0.00680607
135,-8.1267,13.5699,-2.44402
136,-10.8645,20.3806,-2.92575
137,-31.2366,47.1176,0.296305
138,-32.2822,60.8678,-0.416643
139,-13.124,21.9714,-2.75635
140,-11.3035,23.9908,-2.47655
