-914.036,-41.8237,-28.2559
0.345182,0.937951,-0.0331243
-0.938475,0.344541,-0.0235913
-0.0107148,0.0392296,0.999173
0,-1.18351,4.30608,-2.0595
1,-42.9447,121.756,-2.23003
3,-2.25017,7.12734,-2.06905
4,-2.77578,10.808,-2.21824
7,-4.70034,15.3603,-2.47756
8,-5.68159,22.6616,-2.95595
11,-7.4095,24.4736,-2.74592
12,-5.3268,26.8011,-2.54481
14,-20.2368,103.728,1.24104
15,-19.7301,65.8587,-4.77847
16,-6.82624,27.3328,-2.28505
19,-24.1971,68.424,-4.62893
20,-14.1227,72.172,-4.26546
24,-12.4291,50.1896,-2.69063
25,-8.00867,26.4628,3.38443
26,-6.77764,27.1016,2.2649
27,-38.5787,109.341,-4.7021
29,-7.68088,25.3814,7.09424
30,-6.34036,25.3205,4.74456
31,-37.2211,124.599,-2.99789
32,-1.17352,4.29607,-2.0595
33,-42.4846,121.825,-2.2299
35,-2.23017,7.12732,-2.06904
36,-2.74577,10.818,-2.21823
37,-35.6762,120.946,0.0215708
38,-29.7745,155.8,-1.8081
39,-4.65032,15.3803,-2.47755
40,-5.61153,22.7116,-2.95592
43,-7.33942,24.5435,-2.74589
44,-5.24665,26.921,-2.55476
47,-19.5398,66.0785,-4.78836
48,-6.7561,27.4427,-2.295
51,-25.0333,71.615,-4.84832
52,-13.8727,72.2117,-4.26539
56,-12.259,50.2694,-2.70057
57,-8.14773,27.2829,3.48461
59,-38.1487,109.341,-4.692
62,-6.25034,25.3403,4.74459
63,-37.3685,126.759,-3.04737
64,-1.15351,4.30604,-2.05949
65,-41.9946,121.774,-2.21979
67,-2.20016,7.13728,-2.06903
68,-2.70576,10.8279,-2.21822
69,-35.3257,121.366,0.0217648
71,-4.60032,15.3802,-2.47753
72,-5.55145,22.7815,-2.96589
75,-7.26932,24.6235,-2.75585
76,-5.16655,27.0109,-2.55472
79,-19.3894,66.4083,-4.80824
80,-6.7059,27.6127,-2.30495
83,-24.8828,71.9949,-4.86819
84,-13.6126,72.2514,-4.26532
85,-8.01739,27.1832,1.63462
89,-8.05769,27.3128,3.48464
91,-38.2668,110.921,-4.75162
92,-35.8015,191.168,-6.7506
93,-7.59048,25.7313,7.17435
94,-6.69774,27.6308,5.17506
95,-37.5658,129.079,-3.09683
96,-1.1535,4.31604,-2.05949
97,-41.5545,121.884,-2.21965
99,-2.18014,7.15726,-2.06902
100,-2.66576,10.8279,-2.20821
102,-35.0629,190.876,-2.21049
103,-4.55029,15.4002,-2.47752
104,-5.47136,22.8514,-2.96585
107,-7.19925,24.6834,-2.75582
108,-5.0964,27.1308,-2.56467
110,-19.0075,103.126,1.23119
111,-19.1892,66.5881,-4.81815
112,-6.6058,27.6926,-2.3149
115,-24.7722,72.5047,-4.88803
116,-13.3626,72.3111,-4.26524
121,-7.87796,27.0826,3.45462
122,-7.16419,30.072,2.51556
123,-38.355,112.451,-4.81126
124,-35.1512,191.388,-6.75039
125,-7.46063,25.6012,7.13435
126,-6.05044,25.2501,4.72461
127,-34.7753,121.046,-2.90818
128,-1.12348,4.32601,-2.05948
129,-41.0945,121.923,-2.21953
131,-2.15014,7.15722,-2.06902
132,-2.62575,10.8378,-2.2082
133,-34.3957,121.305,0.0219808
134,-34.5419,191.746,-2.22014
135,-4.48029,15.4001,-2.4775
136,-5.41129,22.9113,-2.97582
139,-7.11918,24.7433,-2.76578
140,-5.01628,27.2308,-2.57463
141,-7.79718,27.1532,0.644663
142,-18.9454,104.896,1.25166
144,-6.54563,27.8325,-2.32485
147,-24.4723,72.4244,-4.87798
148,-13.1125,72.3608,-4.26517
151,-26.7665,94.307,-4.54298
154,-7.08405,30.1919,2.52561
155,-38.5428,114.291,-4.89084
157,-7.4204,25.8011,7.18441
158,-5.9703,25.37,4.74466
160,-1.10348,4.32598,-2.05948
161,-40.6245,121.923,-2.21941
163,-2.13012,7.1672,-2.06901
164,-2.58574,10.8478,-2.20819
167,-4.43028,15.41,-2.47749
168,-5.33122,22.9712,-2.98579
170,-35.5244,156.116,-0.889448
171,-7.04909,24.8132,-2.76575
172,-4.93614,27.3507,-2.58457
174,-17.7807,100.395,1.1908
176,-6.4655,27.9424,-2.33481
179,-24.4215,73.1043,-4.91779
180,-12.8525,72.3905,-4.26509
185,-7.55847,26.6322,3.38459
186,-6.93425,30.0217,2.50561
187,-31.0082,92.9819,-3.97438
189,-7.30049,25.721,7.15442
190,-5.98974,25.86,4.82478
192,-1.09348,4.32597,-2.05947
193,-40.1744,122.002,-2.21928
195,-2.10011,7.17717,-2.069
196,-2.54573,10.8577,-2.20817
199,-4.38026,15.43,-2.47747
200,-5.26115,23.0311,-2.97575
203,-6.969,24.8931,-2.77571
204,-4.85599,27.4706,-2.59452
205,-7.57725,27.093,0.644702
206,-17.5201,100.955,1.21101
207,-7.56667,27.0336,-1.95531
208,-6.40532,28.0923,-2.34475
211,-24.1714,73.214,-4.9277
212,-12.6024,72.4402,-4.26502
213,-7.52773,26.8927,1.62466
217,-7.61782,27.2023,3.45472
219,-39.0079,118.442,-5.0499
220,-33.8757,195.976,-6.8989
221,-7.13079,25.4508,7.0644
222,-5.84006,25.5799,4.77475
223,-7.56697,27.0533,-0.645305
224,-1.08348,4.32596,-2.05947
225,-39.7243,122.042,-2.20916
227,-2.08012,7.16714,-2.069
228,-2.50574,10.8477,-2.20817
229,-7.49703,27.143,0.00473497
230,-20.4464,120.429,-1.39477
231,-4.33023,15.4499,-2.47745
232,-5.20105,23.1111,-2.99572
235,-6.89891,24.963,-2.77567
236,-4.77585,27.5905,-2.60447
237,-7.4872,27.1329,0.654735
238,-17.7161,104.295,1.24181
239,-7.47659,27.1035,-1.95527
240,-6.32512,28.2622,-2.35469
243,-23.8415,73.1036,-4.90765
244,-12.3722,72.5999,-4.26492
245,-7.48747,27.1126,1.62473
246,-6.70397,29.9918,1.24566
247,-7.47675,27.1033,-1.29527
248,-11.1789,50.3881,-2.69027
249,-7.24892,26.2419,3.33457
250,-6.69434,29.9415,2.49565
251,-39.2154,120.492,-5.13943
253,-7.05072,25.5107,7.07443
254,-5.74007,25.5697,4.76477
255,-7.47691,27.1032,-0.64527
256,-1.06347,4.33594,-2.05946
257,-39.2643,122.081,-2.20903
258,-6.56367,29.8022,-0.874356
259,-2.05013,7.1671,-2.05899
260,-2.46573,10.8576,-2.20815
261,-7.40697,27.1929,0.00477009
263,-4.26023,15.4498,-2.47743
264,-5.13097,23.171,-3.00569
267,-6.81883,25.0329,-2.78563
268,-4.69572,27.7004,-2.61443
269,-7.41709,27.2228,0.644775
270,-17.0284,102.404,1.2115
271,-7.39649,27.1834,-1.95523
272,-6.24501,28.3522,-2.35465
275,-23.7308,73.6435,-4.93748
276,-12.1916,73.0897,-4.29475
277,-7.41733,27.2325,1.63478
278,-6.60392,30.0317,1.24569
279,-7.39667,27.1732,-1.30523
281,-7.1589,26.2618,3.3346
283,-38.7853,120.581,-5.1293
286,-6.58513,29.9205,5.57567
287,-7.39683,27.1731,-0.645232
288,-1.04347,4.33591,-2.05946
289,-38.8042,122.121,-2.20891
291,-2.0301,7.18708,-2.05898
292,-2.4357,10.8776,-2.20814
295,-4.20024,15.4498,-2.46742
296,-5.05089,23.2409,-3.00565
297,-48.6283,153.142,0.946532
299,-6.74875,25.1029,-2.7856
300,-4.61556,27.8303,-2.62437
302,-16.9662,104.264,1.23199
304,-6.18481,28.5221,-2.37459
307,-23.5106,73.8233,-4.94738
309,-7.25755,27.0423,1.62477
312,-6.42361,29.7022,-1.58435
314,-6.41469,29.6411,2.46564
315,-38.3153,120.581,-5.12918
317,-7.31878,27.2509,7.54481
320,-1.03347,4.3359,-2.05946
321,-38.3442,122.15,-2.20879
322,-6.32375,29.7319,-0.874315
323,-2.00009,7.19705,-2.06897
324,-2.3957,10.8776,-2.20813
326,-15.603,97.993,-1.12927
327,-4.15021,15.4697,-2.4674
328,-4.99082,23.3008,-3.01562
329,-48.1579,153.511,0.946743
330,-6.33388,29.7717,-0.164307
331,-6.66866,25.1728,-2.79556
332,-4.53542,27.9502,-2.63432
334,-19.5045,122.667,1.45604
336,-6.10463,28.672,-2.38453
338,-6.34405,29.7715,0.525691
339,-23.0812,73.3527,-4.9074
341,-7.15758,27.0122,1.61479
342,-6.31432,29.6913,1.22568
343,-35.4071,135.698,-6.50461
344,-6.32358,29.7221,-1.58432
345,-7.08831,26.7717,3.38474
347,-37.8653,120.61,-5.11906
349,-7.01962,26.4906,7.33469
350,-6.43473,30.2703,5.6358
352,-1.01347,4.33588,-2.05945
353,-37.9041,122.21,-2.20866
354,-6.21376,29.7217,-0.86429
355,-1.97008,7.20701,-2.06896
356,-2.35569,10.8875,-2.20812
357,-36.4217,141.647,0.0266492
358,-16.285,104.734,-1.20772
359,-4.0902,15.4796,-2.46738
360,-4.91072,23.3807,-3.02558
362,-6.22388,29.7716,-0.16428
363,-6.60856,25.2527,-2.80552
364,-4.46526,28.0801,-2.64427
366,-18.5483,119.386,1.41544
367,-12.9192,49.9004,-3.59083
368,-6.01451,28.7719,-2.38448
370,-6.23403,29.7914,0.525723
371,-22.8012,73.3624,-4.89732
372,-12.7513,81.7705,-4.80268
373,-6.97792,26.722,1.59476
374,-6.22423,29.7712,1.23572
375,-35.7034,138.778,-6.6439
376,-6.2235,29.7919,-1.58427
377,-7.00823,26.8416,3.40478
378,-6.22455,29.7609,2.47572
379,-37.3754,120.54,-5.11896
381,-6.94951,26.5905,7.35473
382,-5.4098,25.8093,4.79492
383,-33.2556,129.244,-3.07572
384,-1.00167,4.33593,-2.05944
385,-37.444,122.239,-2.20854
386,-6.12222,29.8116,-0.874246
387,-1.94831,7.20704,-2.06895
388,-2.32396,10.9075,-2.2081
389,-35.7725,141.116,0.0266605
390,-15.8353,104.213,-1.19778
391,-4.04855,15.4896,-2.46737
392,-4.83911,23.4607,-3.02554
394,-6.13235,29.8515,-0.164238
395,-6.52699,25.3226,-2.80548
396,-4.39365,28.2101,-2.65423
398,-16.0841,105.783,1.25256
400,-5.93297,28.8518,-2.39444
402,-6.13252,29.8513,0.525762
403,-22.7196,74.0321,-4.94713
404,-12.4209,81.54,-4.78269
406,-6.12272,29.8311,1.23576
407,-12.8379,50.3199,-2.4007
409,-6.92671,26.8715,3.39481
411,-36.9253,120.569,-5.10883
412,-15.8644,104.424,-3.65773
413,-6.81813,26.4804,7.31474
414,-5.30835,25.7592,4.78493
415,-35.7418,141.017,-3.35336
416,-0.981655,4.3459,-2.05943
417,-37.0139,122.378,-2.2084
419,-1.91831,7.207,-2.06894
420,-2.27397,10.8975,-2.20809
422,-15.5347,104.723,-1.20758
423,-3.97854,15.4995,-2.45735
424,-4.76903,23.5206,-3.03551
427,-6.45689,25.4025,-2.81545
428,-4.29349,28.3499,-2.66417
430,-15.4659,104.242,1.23232
431,-12.5481,49.9098,-3.58074
432,-5.85284,28.9617,-2.40439
434,-6.03246,29.9012,0.525799
435,-23.3162,76.9528,-5.12653
438,-5.97304,29.5509,1.21573
439,-12.6479,50.3296,-2.40065
441,-6.88637,27.1714,3.4349
442,-6.05281,30.0207,2.49582
443,-36.5151,120.708,-5.1087
445,-6.99688,27.6105,7.61498
447,-35.4507,141.967,-3.37304
448,-0.971655,4.34589,-2.05943
449,-37.0419,124.038,-2.22798
451,-1.89831,7.20698,-2.06893
452,-2.24396,10.9074,-2.20808
455,-3.93854,15.4995,-2.46734
456,-4.70898,23.5705,-3.03548
459,-6.37679,25.4924,-2.8154
460,-4.21331,28.4998,-2.67411
463,-12.4278,50.1597,-3.60064
