-920.434,-25.204,-28.1452
0.37259,0.927839,-0.0171027
-0.927969,0.372374,-0.0145174
-0.00710123,0.0212798,0.999748
0,-1.90575,4.01894,-2.01182
2,-18.7079,46.6324,-1.45373
3,-3.35837,6.70752,-2.05217
4,-4.39183,10.3165,-2.2121
5,-21.3386,46.4895,-0.00527032
6,-8.16554,23.1425,-0.281936
7,-6.54514,13.7644,-2.34272
8,-7.59965,18.4634,-2.52247
9,-24.0687,46.3568,0.283129
10,-18.7086,46.6221,-0.293728
11,-9.12077,19.4719,-2.29316
12,-7.27195,20.5137,-2.0219
13,-18.8338,40.9418,1.02516
14,-8.17591,23.1924,0.268068
15,-10.0732,21.5809,-1.65332
16,-8.63261,21.0823,-1.85258
17,-24.0693,46.3265,1.49312
18,-18.7193,46.6419,0.85627
19,-11.3833,21.5896,-1.55408
21,-21.3804,46.5889,2.95472
22,-18.75,46.6917,2.02626
23,-21.4074,46.6199,-2.38529
24,-18.6872,46.5926,-2.62372
25,-20.6607,44.9891,6.04485
27,-24.2677,46.747,-2.14691
28,-8.21536,23.3025,-0.861935
32,-1.89575,4.01895,-2.01181
34,-18.5379,46.6325,-1.45363
35,-3.32838,6.71755,-2.05215
36,-4.36185,10.3366,-2.21208
37,-21.1487,46.4997,-0.00515877
38,-8.11564,23.2425,-0.281888
39,-6.49517,13.7945,-2.34268
40,-7.54969,18.5035,-2.52243
41,-23.9188,46.4569,0.283234
42,-18.5186,46.6223,-0.293618
43,-9.05079,19.492,-2.29311
44,-7.19196,20.5138,-2.01185
46,-8.10595,23.2324,0.268115
47,-10.0033,21.6109,-1.64328
48,-8.54261,21.0724,-1.84253
49,-23.8694,46.3467,1.49324
50,-18.5393,46.6621,0.856378
51,-11.2933,21.5996,-1.55402
52,-15.536,45.4057,-2.79212
53,-18.7449,41.1316,2.60525
55,-21.2174,46.6701,-2.38517
56,-18.5072,46.5828,-2.62362
57,-18.8167,41.271,5.53523
59,-24.0677,46.7672,-2.1368
62,-7.95434,19.5119,3.80752
64,-1.87576,4.02897,-2.0118
66,-18.348,46.6627,-1.45351
67,-3.29839,6.72758,-2.05213
68,-4.31185,10.3466,-2.21205
69,-20.9587,46.5099,-0.00504722
70,-8.05577,23.3726,-0.28183
71,-6.45521,13.8345,-2.34265
72,-7.47971,18.5236,-2.52238
73,-23.7388,46.5171,0.283349
74,-18.3386,46.6325,-0.293512
75,-8.98079,19.492,-2.29307
76,-7.12195,20.5038,-2.01182
77,-18.6842,41.3719,1.03533
78,-8.03603,23.3225,0.268172
79,-9.91327,21.631,-1.65322
80,-8.46262,21.0825,-1.84248
81,-23.6694,46.3769,1.49336
82,-18.3493,46.6723,0.856489
83,-11.2133,21.6397,-1.55397
84,-15.356,45.4059,-2.78202
86,-18.36,46.7021,2.02649
87,-21.0575,46.7202,-2.38507
88,-18.3373,46.6229,-2.62351
89,-18.8171,41.681,5.58531
