-914.248,-41.2899,-28.2524
0.340827,0.939529,-0.0334874
-0.940074,0.34022,-0.0225987
-0.00983909,0.0391829,0.999184
0,-0.955662,4.3457,-2.06066
1,-37.5026,128.941,-2.33761
2,-5.69384,29.8017,-0.881242
3,-1.86212,7.22681,-2.07057
4,-2.17765,10.9172,-2.21081
6,-13.2623,96.221,-1.13486
7,-3.84206,15.5592,-2.48057
8,-4.49272,23.34,-3.01109
10,-5.70348,29.8418,-0.171242
11,-6.15029,25.242,-2.79056
12,-3.97664,28.1594,-2.65183
14,-14.272,103.752,1.19479
15,-12.05,50.1392,-3.60057
16,-5.52571,28.8213,-2.39121
18,-5.71316,29.8518,0.518761
19,-21.9697,75.3313,-5.00884
20,-4.54121,32.3001,-1.89201
22,-5.70288,29.8319,1.21876
23,-12.1291,50.4594,-2.41057
26,-5.70233,29.832,2.45876
28,-10.3491,74.9572,-2.64392
29,-6.44421,26.5635,7.30943
30,-4.95624,25.8214,4.77885
32,-0.93565,4.35567,-2.06067
33,-37.7395,131.461,-2.37777
35,-1.83212,7.22678,-2.07058
36,-2.13763,10.9271,-2.21083
37,-37.0659,157.93,-0.000839446
38,-10.118,75.2271,-0.88405
39,-3.79203,15.5792,-2.48059
40,-4.42264,23.4099,-3.02113
43,-6.06018,25.3319,-2.80061
44,-3.89644,28.3193,-2.66188
46,-4.45988,32.5703,0.367924
47,-11.8103,49.9189,-3.58065
48,-5.4256,28.9112,-2.40127
50,-5.61311,29.8917,0.518713
51,-22.1776,77.0415,-5.11893
52,-4.41133,32.2,-1.89206
54,-5.5432,29.5717,1.20872
55,-11.9491,50.4492,-2.41065
58,-5.63205,30.0519,2.4787
59,-34.8033,121.207,-5.12799
62,-5.61086,29.9222,5.53871
64,-0.935637,4.36567,-2.06067
65,-34.2823,120.987,-2.1882
67,-1.81211,7.23675,-2.07059
68,-2.09762,10.9371,-2.21085
69,-35.9886,155.759,-0.00108669
71,-3.72205,15.5691,-2.48062
72,-4.35255,23.4798,-3.02117
75,-5.99009,25.4118,-2.81065
76,-3.8263,28.4392,-2.67192
80,-5.33548,29.0111,-2.40132
84,-4.29137,32.1698,-1.88211
87,-11.7591,50.459,-2.41073
90,-5.5717,30.3319,2.49865
92,-4.30095,32.2399,-1.13211
93,-6.47292,27.5235,7.55934
96,-0.905637,4.36564,-2.06069
97,-38.2928,136.902,-2.4781
99,-1.78211,7.23672,-2.0706
100,-2.05763,10.927,-2.21087
101,-35.4585,155.778,-0.00132224
102,-4.20053,32.3099,-0.372163
103,-3.67201,15.599,-2.48065
104,-4.28245,23.5697,-3.03121
107,-5.92998,25.5018,-2.81069
108,-3.73613,28.5891,-2.69198
110,-4.21017,32.34,0.357839
111,-11.4602,49.9585,-3.58081
112,-5.24542,29.061,-2.41136
114,-5.38319,29.8314,0.508618
115,-21.7869,77.671,-5.14917
116,-4.20135,32.1897,-1.89215
118,-5.37301,29.7215,1.21863
119,-11.5691,50.4488,-2.41082
121,-6.14605,26.5027,3.3193
123,-40.674,145.444,-6.14794
124,-4.20094,32.2498,-1.13216
128,-0.895637,4.36563,-2.06069
129,-33.5417,121.476,-2.18857
130,-33.7924,195.356,-5.7662
131,-1.7521,7.24668,-2.07062
132,-2.03761,10.947,-2.21088
134,-4.08055,32.2897,-0.372213
135,-3.62202,15.5889,-2.47067
136,-4.2024,23.6096,-3.04125
138,-18.112,104.377,-0.613581
139,-5.84987,25.5917,-2.82073
140,-3.66595,28.739,-2.70202
142,-4.10021,32.3098,0.357793
143,-11.2802,49.9783,-3.58089
144,-5.16529,29.1709,-2.41141
146,-18.101,104.347,1.82642
147,-21.5367,77.8407,-5.15929
148,-4.09115,32.3496,-1.89222
150,-5.2729,29.8114,1.21857
151,-11.399,50.5185,-2.4109
154,-5.34186,30.2016,2.48856
155,-35.4944,128.588,-5.42846
156,-4.09087,32.2997,-1.13221
157,-5.85544,25.6627,7.02926
158,-4.95347,27.9414,5.15863
160,-0.875637,4.3656,-2.0607
161,-34.9035,128.208,-2.30868
163,-1.74209,7.25667,-2.07062
164,-1.98761,10.947,-2.2109
166,-3.9705,32.3296,-0.372266
167,-3.56202,15.5889,-2.47069
168,-4.13233,23.6695,-3.04129
169,-34.9519,128.348,0.761328
170,-17.742,104.377,-0.613744
171,-5.76976,25.6816,-2.82078
172,-3.56577,28.8889,-2.71208
173,-34.5654,156.978,3.72816
174,-3.9801,32.3897,0.367732
175,-11.1102,50.0181,-3.58097
176,-5.06521,29.2407,-2.42146
178,-16.9963,100.016,1.75638
179,-21.3164,78.0405,-5.16941
180,-4.34736,35.4999,-2.08243
182,-5.1927,29.9713,1.21852
183,-11.2191,50.4683,-2.40097
185,-5.96597,26.5624,3.32922
186,-5.07302,29.2913,2.40854
187,-39.4744,145.053,-6.11843
188,-4.35694,35.54,-1.25243
190,-5.50834,31.8522,5.87846
191,-34.6781,157.487,-3.75185
192,-0.855633,4.36558,-2.05071
195,-1.70209,7.25662,-2.07064
196,-1.9476,10.9569,-2.21092
198,-4.23656,35.5499,-0.412486
199,-3.502,15.5988,-2.47072
200,-4.02259,23.4494,-3.01131
202,-17.3322,104.206,-0.613907
203,-5.69967,25.7615,-2.83082
204,-3.48558,29.0488,-2.73214
206,-3.8503,32.2295,0.357692
207,-10.9301,50.0378,-3.58105
208,-4.97511,29.3206,-2.42151
209,-7.39638,27.1339,0.799788
210,-16.9837,102.116,1.78616
212,-4.23722,35.6098,-2.07249
214,-16.8834,101.526,4.17618
217,-5.88588,26.6323,3.32917
219,-38.9543,145.172,-6.11867
220,-4.23687,35.5998,-1.25249
221,-5.70527,25.7925,7.05918
222,-5.39831,31.872,5.87841
223,-34.1081,157.506,-3.7521
224,-0.845633,4.36556,-2.05071
225,-7.29695,27.1337,-0.490256
227,-1.68209,7.25659,-2.07065
228,-1.9176,10.9569,-2.21093
229,-33.5066,157.386,-0.00235063
230,-4.12645,35.6398,-0.412544
231,-3.46199,15.6087,-2.47074
232,-3.88288,23.1992,-2.98135
233,-7.34642,27.3338,0.149745
234,-19.5327,120.149,-0.704607
235,-5.61956,25.8514,-2.83086
236,-3.40537,29.2187,-2.74219
238,-4.12613,35.6099,0.397459
239,-10.7601,50.0776,-3.58113
240,-4.90494,29.4605,-2.43155
242,-16.9909,104.416,1.82592
244,-4.86905,42.4005,-2.48293
246,-16.9898,104.436,4.29592
248,-15.6741,96.1636,-5.1038
249,-5.88531,27.0724,3.38913
253,-6.67842,30.8639,8.44908
254,-4.43523,26.6007,4.89854
256,-0.825625,4.37554,-2.06072
259,-1.66207,7.26657,-2.07066
260,-1.8676,10.9568,-2.21095
261,-32.7973,156.765,-0.00259809
262,-4.00627,35.7896,-0.412613
263,-3.39198,15.6187,-2.47077
264,-3.80288,23.1991,-2.98138
266,-16.6815,104.785,-0.614254
267,-5.53946,25.9313,-2.8409
268,-3.31516,29.3985,-2.76225
270,-4.00595,35.7597,0.39739
271,-10.58,50.1174,-3.58122
272,-4.8048,29.5804,-2.44161
273,-7.17647,27.0637,0.799698
274,-16.5018,103.675,1.81578
275,-7.16766,27.0234,-1.7903
276,-4.72894,42.4903,-2.493
277,-6.36256,29.8928,1.75904
278,-16.1237,101.265,4.15587
279,-32.9199,157.315,-7.4826
280,-15.463,97.0433,-5.15398
282,-4.89194,30.141,2.47837
283,-7.16733,27.0535,-1.1303
286,-4.65261,28.601,5.26843
287,-32.8089,156.795,-3.7226
288,-0.815621,4.37553,-2.05073
289,-7.07702,27.0734,-0.480347
291,-1.63206,7.27653,-2.07067
292,-1.8276,10.9568,-2.21097
295,-3.33199,15.6086,-2.4608
296,-3.73286,23.219,-2.98142
297,-7.08673,27.0835,0.149656
298,-16.1428,103.755,-0.614384
299,-5.45938,26.0012,-2.85095
300,-3.24493,29.5885,-2.7723
302,-4.58753,42.5705,0.486933
304,-4.72465,29.7003,-2.45166
305,-7.07644,27.0835,0.799652
306,-16.9849,109.226,1.90541
307,-7.07762,27.0533,-1.79034
308,-4.58902,42.4202,-2.48305
309,-6.29241,30.0127,1.769
310,-15.1387,97.2538,3.98586
311,-32.1511,156.374,-7.43284
314,-4.72247,29.7208,2.43834
315,-7.07729,27.0833,-1.13035
316,-4.58841,42.5603,-1.49307
318,-4.27497,26.8005,4.92845
319,-32.5372,158.194,-3.75286
320,-0.795625,4.3755,-2.06074
321,-6.98697,27.1133,-0.480391
322,-15.9525,104.844,-3.08458
323,-1.60206,7.2765,-2.07069
324,-1.79759,10.9667,-2.21099
326,-4.43792,42.6002,-0.483136
327,-3.28198,15.6185,-2.46082
328,-3.64287,23.2089,-2.98146
329,-6.98669,27.1134,0.149609
330,-16.0307,105.454,-0.614611
331,-5.38926,26.1011,-2.86099
332,-3.14472,29.7683,-2.79236
333,-31.7154,157.034,3.7069
334,-4.42784,42.3203,0.476889
335,-6.10458,29.642,-2.11104
336,-4.6246,29.7402,-2.45171
337,-6.99633,27.1734,0.799607
338,-16.5652,109.015,1.90525
339,-6.98752,27.1332,-1.79039
340,-4.41908,42.3699,-2.48312
342,-13.5094,88.6918,3.64603
345,-6.01256,29.2225,3.64896
346,-4.6125,29.7007,2.43829
347,-6.99722,27.1432,-1.14039
348,-4.44838,42.5901,-1.49313
350,-4.62106,29.781,5.47829
351,-6.13373,29.8222,-0.70105
352,-0.785625,4.37549,-2.06074
353,-6.89686,27.2032,-0.48044
354,-15.5028,104.584,-3.07475
355,-1.57206,7.27646,-2.0707
356,-1.75757,10.9767,-2.211
357,-6.04329,29.9322,-0.00110161
358,-4.3078,42.7,-0.493204
359,-3.22198,15.6185,-2.46085
360,-3.55285,23.2288,-2.9815
362,-14.6093,98.4527,-0.574504
363,-5.31914,26.201,-2.86103
364,-3.06447,29.9782,-2.81242
365,-6.04307,29.8623,0.688906
366,-4.27757,42.5401,0.4768
367,-5.99456,29.6519,-2.11109
368,-4.52445,29.8701,-2.46176
370,-12.8728,86.6708,1.50596
372,-4.27893,42.4998,-2.4832
373,-6.01273,29.7623,1.7489
374,-6.91259,46.0935,1.87759
375,-6.00418,29.712,-1.4111
377,-5.97213,29.5525,3.68891
378,-6.10867,40.6226,3.33781
380,-4.29824,42.6999,-1.49321
382,-4.4417,29.2908,5.38826
384,-0.763647,4.37552,-2.06076
387,-1.56011,7.28649,-2.07073
388,-1.71567,10.9867,-2.21106
390,-4.15621,42.8198,-0.50341
391,-3.17014,15.6184,-2.46092
392,-3.47112,23.2187,-2.97161
394,-15.171,104.693,-0.615276
395,-5.23735,26.2809,-2.87117
396,-2.97259,30.1781,-2.83257
398,-4.1558,42.7999,0.486592
399,-5.91285,29.7118,-2.11125
400,-4.44268,29.98,-2.47191
401,-6.80466,27.1932,0.799406
402,-12.8696,88.6307,1.54545
403,-12.3489,49.8295,-3.28062
404,-4.15711,42.7896,-2.50341
406,-4.78816,32.3508,1.31798
407,-5.90253,29.7219,-1.41125
409,-5.32416,26.7017,3.32882
410,-5.96721,40.6325,3.33761
412,-8.87638,92.9753,-3.26674
414,-4.34014,29.2807,5.37812
415,-5.89225,29.7019,-0.701256
416,-0.753635,4.3855,-2.06077
418,-17.1519,121.445,-3.56621
419,-1.52011,7.28644,-2.07075
420,-1.67567,10.9866,-2.21107
422,-4.87466,52.3507,-0.61412
423,-3.12012,15.6383,-2.46095
424,-3.39112,23.2186,-2.97164
426,-13.7005,96.8915,-0.565076
427,-5.15726,26.3608,-2.88122
428,-2.88233,30.398,-2.85263
429,-5.80154,29.792,0.688695
430,-4.28212,45.8201,0.516323
431,-5.80274,29.8017,-2.12131
432,-4.34259,30.0498,-2.47196
434,-14.8098,104.773,1.82456
435,-12.1788,49.8693,-3.2807
436,-4.24398,45.4097,-2.65365
437,-5.79115,29.7421,1.7487
438,-4.68797,32.5007,1.31792
439,-5.80247,29.7717,-1.4113
440,-17.044,120.675,-6.38618
441,-5.7903,29.7423,3.7087
444,-5.44759,58.6713,-2.05455
446,-4.21031,29.1505,5.34808
447,-5.80224,29.7118,-0.701296
448,-0.733635,4.38548,-2.06077
450,-16.6623,121.075,-3.55639
451,-1.5001,7.29641,-2.07076
452,-1.63567,10.9866,-2.21109
453,-5.7018,29.8218,-0.00135135
455,-3.06012,15.6383,-2.46097
456,-3.30116,23.1885,-2.97168
458,-14.9364,108.483,-0.635783
459,-5.06719,26.4207,-2.88126
460,-2.80205,30.6379,-2.87269
461,-5.70149,29.8318,0.688648
463,-5.71266,29.8715,-2.12135
464,-4.25245,30.1697,-2.48201
466,-12.0215,87.0397,1.51525
467,-12.0088,49.9091,-3.28078
468,-4.10376,45.5995,-2.66373
469,-5.70107,29.802,1.74865
470,-4.55812,32.3805,1.31788
471,-5.72232,29.9016,-1.41135
472,-16.604,120.704,-6.38637
477,-5.74804,30.0127,8.16865
478,-3.80327,26.87,4.92815
479,-5.71211,29.8217,-0.701347
480,-0.733635,4.38548,-2.06077
482,-10.1475,75.267,-2.2143
483,-1.4801,7.29639,-2.07076
484,-1.59567,10.9865,-2.21111
485,-5.61168,29.9217,-0.00140097
486,-2.42478,27.4877,-0.322517
487,-3.00013,15.6282,-2.461
488,-3.23118,23.1684,-2.96171
490,-10.1466,75.3272,-0.444303
491,-4.97715,26.4506,-2.8813
492,-2.71177,30.8778,-2.89276
493,-5.59153,29.8017,0.688603
494,-3.95224,45.7197,0.516191
496,-4.15241,30.1996,-2.48206
499,-11.8287,49.9489,-3.28086
500,-2.42547,27.3776,-1.6025
501,-5.58115,29.7418,1.74861
502,-4.44805,32.4404,1.31783
505,-5.59021,29.812,3.7086
506,-4.44749,32.4205,2.65783
508,-2.43513,27.4277,-0.962506
510,-3.72319,26.9299,4.9381
512,-0.703635,4.38544,-2.06079
513,-36.169,156.439,-2.80175
515,-1.45009,7.30635,-2.07078
516,-1.55565,11.0065,-2.21113
518,-2.33479,27.4776,-0.312555
519,-2.95012,15.6381,-2.46102
520,-3.13119,23.1583,-2.96175
523,-4.88714,26.4605,-2.88134
524,-2.6314,31.1877,-2.92282
525,-5.49146,29.8616,0.688554
526,-3.81196,45.9495,0.516106
527,-9.23792,50.7357,-3.60206
528,-4.05233,30.2695,-2.49211
530,-4.32841,32.4102,0.557778
531,-11.6487,49.9587,-3.28094
532,-3.78367,45.6692,-2.66388
533,-7.66597,41.9644,2.4682
534,-4.29839,32.1602,1.31779
535,-33.9527,188.455,-8.91613
536,-4.29962,32.2199,-1.70221
540,-3.79308,45.7793,-1.59388
542,-3.61327,26.8698,4.92806
544,-0.683635,4.38542,-2.0608
545,-35.7283,157.038,-2.812
546,-4.19922,32.2798,-0.942264
547,-1.42009,7.30631,-2.07079
548,-1.51566,10.9964,-2.21114
549,-17.6668,99.6864,-0.00366245
550,-2.23482,27.4575,-0.322596
551,-2.89012,15.6381,-2.46105
552,-3.05118,23.1682,-2.96178
554,-4.20879,32.3599,-0.182268
555,-4.79709,26.5003,-2.89139
556,-2.54114,31.4076,-2.94289
558,-3.18931,39.9288,0.446482
560,-3.96217,30.4094,-2.50217
562,-4.20848,32.36,0.547732
563,-11.4687,49.9884,-3.28102
567,-33.3024,188.654,-8.92643
568,-4.18963,32.2097,-1.70226
569,-5.47948,30.3919,3.77849
572,-3.65295,45.8891,-1.60396
573,-5.23935,29.042,7.88853
574,-4.21606,32.4306,5.94773
576,-0.673635,4.38541,-2.0608
577,-35.3774,157.748,-2.82223
578,-4.09923,32.2697,-0.942306
579,-1.41007,7.3163,-2.0708
580,-1.48566,10.9964,-2.21116
581,-18.2404,104.927,-0.00397571
583,-2.85011,15.648,-2.46107
584,-2.9812,23.1481,-2.96181
586,-4.10878,32.3698,-0.182312
587,-4.71706,26.5303,-2.89142
588,-2.47078,31.7175,-2.97295
589,-20.8409,119.991,2.81554
590,-3.04945,39.8186,0.446433
591,-8.86811,50.5752,-3.59221
592,-3.87207,30.4893,-2.50221
594,-4.0985,32.3399,0.547687
595,-11.3087,50.0082,-3.28109
596,-3.05069,39.7783,-2.32356
597,-5.29101,29.8515,1.74847
598,-4.11801,32.47,1.32768
599,-32.7024,188.724,-8.9267
600,-4.08958,32.2496,-1.70231
604,-3.06006,39.9684,-1.40358
605,-5.14932,29.0619,7.88849
606,-5.23417,41.612,7.62719
607,-33.8822,195.546,-4.61692
608,-0.663623,4.39539,-2.06081
610,-3.97921,32.2896,-0.94236
611,-1.37007,7.31625,-2.07081
612,-1.44566,10.9963,-2.21117
613,-17.0761,100.266,-0.0039796
614,-2.91974,39.8983,-0.463632
615,-2.78014,15.6179,-2.45109
616,-2.89123,23.118,-2.95185
618,-3.98879,32.3597,-0.182363
619,-4.62703,26.5501,-2.89147
620,-2.37038,32.0574,-3.00303
621,-5.18144,29.8712,0.698419
622,-2.92923,39.9984,0.446362
623,-8.74763,50.9751,-3.6123
624,-3.78197,30.5792,-2.51226
626,-4.00829,32.5098,0.55763
627,-11.1286,50.038,-3.28117
628,-2.91066,39.8081,-2.32363
629,-5.12146,29.4912,1.72843
630,-3.99804,32.4498,1.31763
632,-4.3657,35.4999,-1.87254
634,-3.66103,29.5995,2.41779
636,-2.92012,39.9182,-1.39363
637,-5.12869,29.5319,8.01843
638,-4.4214,36.0309,6.59743
640,-0.643623,4.39537,-2.06081
641,-33.2429,153.245,-2.73267
642,-4.24528,35.5499,-1.04259
643,-1.35007,7.31623,-2.07082
644,-1.41563,11.0163,-2.21119
645,-17.4606,104.766,-0.00429529
646,-2.77977,39.8782,-0.46369
647,-2.72012,15.6379,-2.45112
648,-2.81123,23.1179,-2.95188
650,-3.87876,32.3895,-0.182414
651,-4.54701,26.57,-2.8915
652,-2.28991,32.4473,-3.02311
653,-5.08143,29.8811,0.688374
654,-2.77935,39.8983,0.446308
655,-12.0924,72.239,-5.11313
656,-3.68182,30.699,-2.52232
658,-3.84871,32.1696,0.547597
659,-10.9586,50.0778,-3.28125
660,-2.79055,39.898,-2.33369
662,-3.86822,32.2997,1.30759
664,-4.24564,35.5498,-1.87259
665,-5.01067,29.4613,3.64839
666,-3.55107,29.5694,2.41775
667,-34.1992,157.646,-6.57273
668,-2.78017,39.8781,-1.39369
669,-5.13779,30.212,8.19836
670,-3.90574,32.6802,5.98757
672,-0.633623,4.39536,-2.06082
674,-4.11516,35.6497,-1.04266
675,-1.32006,7.32619,-2.07084
676,-1.36563,11.0162,-2.21121
677,-17.3385,106.506,-0.00453428
678,-2.62965,39.978,-0.463766
679,-2.66013,15.6278,-2.45115
680,-2.71128,23.0778,-2.94192
682,-4.11478,35.6698,-0.202663
683,-4.43698,26.5899,-2.89155
684,-2.18944,32.8472,-3.06319
685,-17.0198,104.616,2.44553
686,-2.6393,39.9381,0.446243
687,-11.8421,72.4787,-5.12327
688,-3.59158,30.9089,-2.54238
690,-3.7386,32.2594,0.54754
691,-10.7586,50.0976,-3.28134
692,-5.20133,81.2107,-4.73707
694,-3.7482,32.3195,1.30754
695,-15.673,96.2135,-4.54415
696,-4.12548,35.6896,-1.88266
698,-4.1332,35.8502,2.92733
700,-2.64008,39.9479,-1.39376
701,-4.88887,29.4016,7.96834
702,-3.78573,32.6901,5.98751
704,-0.613623,4.39533,-2.06083
706,-4.01503,35.7596,-1.04272
707,-1.31006,7.32618,-2.07084
708,-1.32563,11.0162,-2.20123
709,-16.4526,103.145,-0.00455711
710,-3.25427,52.6687,-0.614854
711,-2.61012,15.6377,-2.45117
712,-2.65128,23.0677,-2.93195
713,-32.8172,156.565,0.906792
714,-4.01465,35.7697,-0.202717
715,-4.35697,26.5998,-2.89159
716,-2.05008,32.307,-3.02319
717,-16.2432,101.825,2.37549
718,-2.49933,39.9179,0.446185
719,-11.6418,72.7185,-5.13338
720,-3.50141,31.0488,-2.55243
722,-4.01432,35.7598,0.607284
723,-10.5985,50.1274,-3.28141
724,-5.42173,89.2709,-5.20784
726,-3.62835,32.1994,1.3075
727,-15.3729,96.3231,-4.54429
728,-4.7473,42.5404,-2.24313
729,-4.76097,29.221,3.61831
730,-3.6377,32.2595,2.6375
734,-3.63626,32.2799,5.90749
736,-0.593611,4.40531,-2.06084
739,-1.28006,7.32614,-2.07085
740,-1.29564,11.0062,-2.20124
741,-18.6921,119.988,-0.00539284
742,-3.41665,58.9589,-0.685458
743,-2.56012,15.6377,-2.45119
744,-2.55133,23.0376,-2.94199
746,-4.61625,42.6904,-0.243198
747,-4.25696,26.6097,-2.89163
748,-1.97909,33.1469,-3.09332
749,-15.8633,101.714,2.37534
750,-2.36922,40.0078,0.446119
751,-6.57875,41.5925,-2.94223
752,-3.40129,31.1487,-2.55249
754,-3.50877,32.1192,0.547456
755,-6.24271,29.7622,-1.94111
756,-4.95499,86.5304,-5.04775
757,-7.3204,46.454,2.71757
758,-3.90374,35.9297,1.45722
759,-15.0528,96.3927,-4.54444
760,-4.59733,42.5102,-2.23319
762,-3.38924,31.0292,2.52752
765,-4.58968,28.8012,7.79828
766,-3.52631,32.2398,5.89745
767,-16.3914,105.045,-2.47479
768,-0.581649,4.39535,-2.06085
769,-31.5994,156.113,-2.78431
770,-4.45533,42.6001,-1.24339
771,-1.23814,7.31614,-2.07089
772,-1.25374,11.0161,-2.20129
773,-18.222,119.737,-0.00599586
774,-2.88292,52.6983,-0.615157
775,-2.49828,15.6476,-2.45127
776,-2.4696,23.0275,-2.93209
778,-4.45496,42.5602,-0.243383
779,-4.15524,26.6396,-2.89177
780,-1.86747,33.1668,-3.09345
781,-15.4332,101.304,2.36484
782,-2.22776,39.9876,0.445956
784,-3.29954,31.2586,-2.56264
785,-21.2487,104.791,3.09692
786,-4.42486,42.3003,0.726633
787,-6.12116,29.692,-1.94127
788,-4.80075,89.3601,-5.21835
789,-7.14903,46.4438,2.71733
790,-3.73277,35.4795,1.43709
791,-15.0988,99.0626,-4.66506
792,-4.4459,42.48,-2.23338
798,-3.37511,31.9796,5.84732
799,-15.9313,104.564,-2.46531
800,-0.561637,4.40532,-2.06086
802,-4.30529,42.6399,-1.24346
803,-1.21811,7.33612,-2.0709
804,-1.21375,11.0061,-2.2013
805,-16.1256,108.434,-0.00564713
806,-3.12247,61.4186,-0.716009
807,-2.43828,15.6475,-2.45129
808,-2.38963,22.9974,-2.93212
809,-6.07994,29.9722,0.158682
810,-4.31478,42.7101,-0.243459
811,-4.06519,26.6795,-2.89181
812,-1.74748,33.1567,-3.0935
813,-15.222,102.264,2.38465
814,-2.06819,39.6274,0.445928
815,-5.64226,37.3314,-2.63231
816,-3.22914,31.5985,-2.5927
818,-3.28703,32.2489,0.547251
819,-6.01116,29.6919,-1.94132
820,-4.51032,89.7198,-5.23852
821,-6.94936,46.1836,2.69728
822,-4.31398,42.6803,1.72654
823,-15.5325,104.393,-4.91546
824,-4.31572,42.6298,-2.24345
825,-4.30065,28.2105,3.48812
827,-6.01085,29.702,-1.23132
830,-3.65993,36.03,6.587
831,-15.5811,104.743,-2.46547
832,-0.551644,4.39531,-2.05086
833,-5.91051,29.7319,-0.521364
834,-4.16517,42.7398,-1.25353
835,-1.19811,7.33609,-2.07091
836,-1.17374,11.0161,-2.20132
837,-15.22,104.803,-0.00563335
838,-2.82482,59.4582,-0.695921
839,-2.39829,15.6375,-2.45131
840,-2.29967,22.9673,-2.92215
