-919.459,-27.5042,-28.1555
0.363478,0.931414,-0.0187631
-0.931548,0.363165,-0.018176
-0.0101153,0.0240853,0.999659
0,-2.35935,3.83878,-2.03174
1,-14.1635,20.7022,-0.434516
2,-23.3462,42.9985,-1.42964
3,-4.12303,6.3662,-2.07216
4,-5.58815,9.86402,-2.23296
5,-27.9202,45.9823,-0.00956913
7,-8.20294,13.1302,-2.37342
8,-9.99018,18.0775,-2.60461
9,-14.1433,20.6524,0.125495
11,-11.8618,19.2249,-2.41456
12,-9.95335,20.3377,-2.10535
14,-22.2905,46.3007,0.569054
15,-13.1047,21.3133,-1.74495
16,-11.5342,20.9355,-1.94519
17,-14.1031,20.6226,0.705496
18,-22.4231,41.2706,0.790709
19,-14.1938,20.7317,-1.60452
20,-11.1067,22.7563,-1.46587
22,-25.0801,46.2371,2.10971
23,-27.5999,45.422,-2.47946
24,-23.4065,43.0881,-2.56966
27,-14.1737,20.7219,-1.01452
28,-11.1267,22.7964,-0.88588
30,-10.5402,19.1088,3.93518
31,-28.2212,46.4615,-1.26966
32,-2.33935,3.83881,-2.03175
33,-14.1136,20.7622,-0.434547
34,-23.2865,43.2186,-1.42973
35,-4.10303,6.36623,-2.07216
36,-5.55818,9.88407,-2.23297
37,-27.7201,45.9626,-0.00960804
38,-11.0867,22.9167,-0.295928
39,-8.15298,13.1603,-2.37344
40,-9.93022,18.1076,-2.60464
41,-14.0834,20.7324,0.125456
42,-24.8405,46.1367,-0.310316
43,-11.7818,19.255,-2.40459
44,-9.88337,20.3478,-2.10537
45,-24.7226,40.9373,1.08134
47,-13.0348,21.3534,-1.74498
48,-11.4442,20.9356,-1.93521
49,-14.0532,20.6727,0.705468
50,-24.8602,46.1671,0.889679
51,-14.174,20.8618,-1.60457
52,-11.0669,22.8563,-1.47591
54,-24.9001,46.2474,2.10966
55,-27.9914,46.4214,-2.5197
56,-23.3268,43.2782,-2.57974
57,-24.4208,40.4393,5.76143
58,-11.4433,20.9369,1.91479
59,-14.1538,20.842,-1.02456
60,-11.0567,22.8365,-0.885909
62,-10.5003,19.1789,3.94515
64,-2.32936,3.84882,-2.03175
65,-14.1038,20.9222,-0.434601
67,-4.07306,6.38627,-2.07218
68,-5.52821,9.90411,-2.23298
69,-27.5102,46.0029,-0.00966857
70,-11.0067,22.9368,-0.295953
71,-8.11304,13.2003,-2.38346
72,-9.86025,18.1277,-2.59466
73,-14.0336,20.8225,0.125415
74,-24.6305,46.147,-0.310367
75,-11.6818,19.2351,-2.4046
76,-9.79337,20.348,-2.09539
77,-24.6629,41.1774,1.09125
78,-11.0167,22.977,0.274036
79,-12.9548,21.3835,-1.73501
80,-11.3342,20.9158,-1.93523
81,-13.9933,20.7628,0.705426
82,-22.1233,41.381,0.790605
83,-14.3847,21.3414,-1.64467
84,-11.007,22.9564,-1.47596
85,-25.7352,43.0064,2.8909
86,-24.7502,46.3476,2.1096
88,-24.5207,45.9364,-2.73032
89,-25.544,42.6777,6.07096
90,-11.4035,21.0469,1.92475
92,-11.0068,22.9266,-0.88595
94,-10.4604,19.2789,3.95511
96,-2.31939,3.86883,-2.03176
99,-4.06309,6.40629,-2.07218
100,-5.48823,9.91417,-2.233
101,-27.3002,46.0032,-0.0097162
102,-10.9168,22.9769,-0.295986
103,-8.07311,13.2504,-2.38349
104,-9.80033,18.1778,-2.60469
105,-14.0238,20.9725,0.125365
106,-24.4505,46.1773,-0.310417
107,-11.6118,19.2552,-2.39463
108,-9.70337,20.3481,-2.09541
110,-10.9267,23.0071,0.274006
111,-12.8949,21.4636,-1.74505
112,-11.2342,20.9159,-1.92525
113,-13.9635,20.8528,0.70539
115,-14.3148,21.4115,-1.64471
116,-10.9772,23.1064,-1.48601
117,-27.3196,46.0442,3.09028
119,-27.2606,45.9225,-2.4897
120,-24.3909,46.0666,-2.7304
121,-26.7474,45.0761,6.40046
123,-30.551,46.2078,-2.25905
124,-10.947,23.0367,-0.885999
126,-11.1425,20.7481,4.25479
128,-2.30939,3.86885,-2.03176
131,-4.0331,6.41633,-2.07219
132,-5.45827,9.94421,-2.23301
133,-27.0902,46.0035,-0.00976383
134,-10.8669,23.047,-0.29602
135,-8.03316,13.2804,-2.38351
136,-9.75037,18.2079,-2.60471
138,-24.2405,46.1676,-0.310462
139,-11.5319,19.2953,-2.38466
140,-9.64345,20.4082,-2.09544
141,-27.11,46.0639,1.22022
142,-10.8568,23.0472,0.273978
143,-12.7949,21.4637,-1.73507
144,-11.1542,20.936,-1.92527
145,-13.9036,20.9329,0.71535
146,-21.5928,41.0518,0.780592
147,-14.2349,21.4417,-1.64474
149,-27.1196,46.0845,3.08022
150,-24.2801,46.2483,2.09952
151,-25.4767,43.2351,-2.33923
152,-24.211,46.1068,-2.73045
153,-23.9411,40.62,5.75126
154,-11.2335,21.0872,1.9247
155,-30.321,46.2081,-2.2491
156,-10.9272,23.2067,-0.896058
160,-2.28939,3.86888,-2.03177
163,-4.0031,6.41638,-2.0722
164,-5.42831,9.97426,-2.23303
165,-26.8802,46.0238,-0.00981791
166,-10.797,23.1271,-0.296062
167,-8.0032,13.3105,-2.38352
168,-9.6704,18.228,-2.60473
169,-29.8299,45.8096,0.290919
170,-24.0405,46.1879,-0.310514
171,-11.4419,19.2955,-2.39468
172,-9.58348,20.4283,-2.09546
173,-26.9,46.0642,1.21017
174,-10.7768,23.1073,0.27394
175,-12.7149,21.4838,-1.7351
176,-11.0742,20.9362,-1.92529
178,-24.0603,46.2082,0.879484
179,-14.1549,21.4818,-1.63477
180,-21.3214,46.341,-2.97118
181,-26.9196,46.0948,3.08017
182,-22.7463,43.6605,1.98001
183,-25.3168,43.3153,-2.3393
184,-24.0912,46.287,-2.73053
185,-23.2498,39.7209,5.6114
187,-30.1011,46.2384,-2.24916
190,-12.5368,23.8062,4.86411
192,-2.2794,3.87889,-2.03177
195,-3.99313,6.43639,-2.07221
196,-5.38834,9.99432,-2.23304
197,-26.6903,46.0541,-0.00987069
198,-10.7672,23.2771,-0.296117
199,-7.95326,13.3505,-2.38355
200,-9.61043,18.2481,-2.60475
201,-29.6299,45.8399,0.290864
202,-23.8405,46.1982,-0.310562
203,-11.3619,19.3156,-2.3947
204,-9.48345,20.4084,-2.09548
205,-26.68,46.0445,1.21013
206,-10.727,23.2074,0.273896
207,-12.635,21.534,-1.73513
208,-10.9541,20.9063,-1.91531
209,-29.6196,45.8404,1.56086
210,-23.8804,46.2685,0.879424
211,-14.065,21.5219,-1.6348
212,-21.1715,46.4312,-2.97124
213,-26.7097,46.1051,3.07012
214,-22.7068,43.9705,1.9899
215,-25.1369,43.3656,-2.32935
216,-23.9013,46.3073,-2.73058
217,-23.0799,39.7812,5.61134
219,-29.8811,46.2488,-2.23921
220,-21.2013,46.4915,-1.79125
222,-12.4469,23.8464,4.86408
224,-2.26942,3.88891,-2.03178
227,-3.96315,6.44643,-2.07222
228,-5.35837,10.0144,-2.23306
229,-26.4703,46.0544,-0.00992058
231,-7.91332,13.3906,-2.39357
232,-9.54049,18.2882,-2.60478
233,-29.4099,45.8503,0.300811
234,-23.6506,46.2084,-0.310609
235,-11.292,19.3457,-2.38473
236,-9.40348,20.4285,-2.09551
239,-12.515,21.4941,-1.73515
240,-10.8842,20.9464,-1.91534
241,-29.4096,45.8607,1.57081
242,-23.6603,46.2388,0.879384
243,-13.995,21.562,-1.63483
244,-21.0016,46.5014,-2.9713
245,-26.4997,46.1254,3.07006
246,-23.6902,46.2991,2.08937
247,-26.7215,46.4933,-2.50001
249,-23.6217,41.0504,5.77105
250,-22.5765,44.1014,4.00983
251,-29.6811,46.259,-2.23926
252,-21.0816,46.6717,-1.79134
254,-12.387,23.9165,4.87404
256,-2.24942,3.88894,-2.03178
257,-29.2704,45.9801,-0.949263
