-920.185,-25.7934,-28.1468
0.370738,0.928571,-0.0175527
-0.928701,0.370491,-0.0158181
-0.00818507,0.0221656,0.999721
0,-2.02137,3.98863,-2.02498
2,-20.0968,46.1596,-1.5008
3,-3.54418,6.62697,-2.0674
4,-4.68793,10.1956,-2.22025
5,-21.274,42.9593,-0.0392542
6,-8.89261,23.0724,-0.300581
7,-6.94148,13.5632,-2.35349
8,-8.17652,18.3517,-2.54718
10,-20.2577,46.5102,-0.331098
11,-9.78775,19.4101,-2.33861
12,-7.91901,20.4623,-2.05843
14,-8.92292,23.1227,0.249372
15,-10.8203,21.5294,-1.69047
16,-9.31966,20.9909,-1.87942
18,-20.2783,46.541,0.828872
19,-12.1203,21.4781,-1.59103
20,-8.94223,23.2116,-1.4607
21,-22.9591,46.4295,2.94771
22,-20.2789,46.5717,2.00885
23,-21.3933,43.2177,-2.27948
24,-20.1063,46.1789,-2.67081
25,-21.1465,42.7033,5.78097
27,-25.947,46.6229,-2.2038
28,-8.92244,23.162,-0.880654
30,-9.2322,20.7949,4.09075
31,-21.3337,43.0685,-1.14935
32,-2.01136,3.97864,-2.02497
34,-19.8567,46.0399,-1.49061
35,-3.52419,6.63699,-2.0674
36,-4.64797,10.2257,-2.22025
37,-21.1442,43.0795,-0.0392725
38,-8.8327,23.1525,-0.300606
39,-6.89152,13.6032,-2.35349
40,-8.11654,18.3718,-2.54716
41,-25.5177,46.215,0.246665
42,-20.0577,46.5104,-0.331006
43,-9.69777,19.4202,-2.32857
44,-7.84901,20.4624,-2.0484
45,-19.8017,40.3016,0.993157
46,-8.83297,23.1628,0.249387
47,-10.7303,21.5195,-1.69042
48,-9.23969,21.021,-1.87941
49,-22.8128,41.2586,1.31114
50,-20.0783,46.5412,0.828965
51,-12.0604,21.5382,-1.59105
53,-22.7792,46.4797,2.94776
54,-20.0889,46.5919,2.00893
55,-21.2534,43.3079,-2.27947
57,-20.2748,41.2641,5.58231
59,-25.747,46.6431,-2.20372
60,-8.89261,23.322,-0.880744
63,-21.2038,43.1987,-1.14938
64,-1.99137,3.98866,-2.02496
67,-3.4942,6.64702,-2.06739
68,-4.61798,10.2357,-2.22025
69,-21.0243,43.2096,-0.0393019
70,-8.77279,23.2325,-0.30063
71,-6.86156,13.6332,-2.35349
72,-8.04659,18.4118,-2.54716
73,-25.3177,46.2252,0.246751
74,-19.8777,46.5306,-0.330936
75,-9.61777,19.4203,-2.32854
76,-7.74899,20.4425,-2.04834
77,-19.6417,40.3318,0.993212
78,-8.76303,23.2229,0.24938
79,-10.6403,21.5496,-1.6904
80,-9.14969,21.0211,-1.87936
81,-22.6529,41.2987,1.31119
82,-19.8883,46.5714,0.829033
83,-11.9604,21.5383,-1.591
84,-16.7953,45.3023,-2.83871
85,-21.2962,43.7711,2.77021
86,-19.9089,46.6021,2.009
87,-21.1436,43.478,-2.27953
89,-21.9693,45.1926,6.09897
91,-25.4969,46.5734,-2.19356
94,-10.4059,23.9741,4.70813
95,-21.0639,43.3088,-1.14939
96,-1.98138,3.99867,-2.02496
98,-19.7774,46.77,-1.51105
99,-3.48421,6.65704,-2.06739
100,-4.57799,10.2458,-2.22023
101,-22.3577,46.4082,-0.0420014
102,-8.73295,23.3826,-0.30071
103,-6.80159,13.6633,-2.35349
104,-7.98661,18.4319,-2.54714
105,-25.1277,46.2554,0.246819
106,-19.6978,46.5508,-0.330866
107,-9.56781,19.4604,-2.32854
108,-7.67901,20.4626,-2.04832
109,-22.3583,46.4289,1.13799
110,-8.70313,23.313,0.249349
111,-10.5804,21.5997,-1.6904
112,-9.05969,21.0212,-1.87932
113,-25.1383,46.2762,1.4668
114,-19.6983,46.5816,0.829114
115,-11.8904,21.5884,-1.591
116,-16.6353,45.3325,-2.83866
117,-21.1163,43.8113,2.77026
118,-19.7289,46.6323,1.99907
119,-22.4168,46.5465,-2.44212
120,-19.5563,46.2195,-2.66059
121,-21.9597,45.5926,6.13872
123,-25.327,46.6536,-2.19353
125,-10.123,20.6553,6.10043
126,-10.3159,24.0142,4.70815
128,-1.97139,3.99869,-2.01496
131,-3.45422,6.66707,-2.06738
132,-4.53801,10.2658,-2.22023
133,-22.1678,46.4284,-0.0419269
135,-6.76162,13.6933,-2.35349
136,-7.91663,18.452,-2.54712
137,-24.9378,46.3056,0.246874
138,-19.4978,46.551,-0.330774
139,-9.47781,19.4605,-2.3285
140,-7.61906,20.5026,-2.03832
141,-19.5222,40.7919,1.00297
143,-10.4804,21.5998,-1.69036
144,-8.97971,21.0313,-1.86929
146,-19.5183,46.5918,0.82919
147,-11.8305,21.6484,-1.59101
148,-16.4653,45.3727,-2.83861
149,-22.1892,46.4803,2.93803
150,-19.549,46.6625,1.99913
151,-22.2769,46.6467,-2.44212
152,-19.4967,46.5395,-2.67077
153,-19.5744,40.9248,5.50286
155,-25.147,46.6838,-2.19347
158,-8.97244,21.0152,4.11072
160,-1.95139,4.0087,-2.02496
162,-19.3172,46.5605,-1.5007
163,-3.43423,6.67709,-2.06738
164,-4.50802,10.2758,-2.22022
165,-21.9678,46.4186,-0.0418281
167,-6.71165,13.7234,-2.36348
168,-7.85665,18.472,-2.54711
169,-24.7378,46.3058,0.246966
170,-19.3178,46.5712,-0.330704
171,-9.38781,19.4506,-2.31845
172,-7.53907,20.5127,-2.04829
174,-16.7683,46.7245,0.520373
175,-10.3704,21.5699,-1.68029
176,-8.89972,21.0414,-1.86926
177,-24.7183,46.2766,1.46699
178,-19.3283,46.602,0.819271
179,-11.7605,21.6885,-1.591
180,-16.3154,45.4328,-2.83858
183,-22.0569,46.6369,-2.43201
184,-19.2966,46.5197,-2.67066
185,-19.5348,41.2248,5.53268
187,-24.9371,46.694,-2.19338
189,-9.89284,20.5455,6.0506
190,-10.4068,24.7241,4.83764
192,-1.93139,3.99873,-2.01494
194,-19.1573,46.5807,-1.50064
195,-3.40424,6.68712,-2.06737
196,-4.47804,10.2959,-2.22022
197,-21.7978,46.4288,-0.0417563
199,-6.67168,13.7534,-2.36349
200,-7.80667,18.4921,-2.5471
201,-24.5578,46.316,0.247043
202,-19.1478,46.5814,-0.330632
203,-9.32783,19.4706,-2.31844
204,-7.46907,20.5128,-2.04826
205,-19.4929,41.4419,1.01256
206,-16.5983,46.7047,0.520465
207,-10.3405,21.67,-1.69034
208,-8.81968,21.0115,-1.86921
209,-24.5483,46.2868,1.46707
210,-19.1684,46.6122,0.819339
211,-11.6906,21.7386,-1.591
212,-16.1454,45.423,-2.83849
213,-10.0512,21.0622,1.32019
214,-19.1789,46.6429,1.99931
215,-21.947,46.7471,-2.44203
216,-19.1367,46.5499,-2.67061
217,-19.5351,41.5649,5.57246
219,-24.7571,46.7042,-2.1833
220,-17.1389,48.2426,-1.82079
222,-10.3268,24.7442,4.83767
224,-1.92141,4.01874,-2.01495
226,-18.9873,46.6508,-1.5006
227,-3.38426,6.69714,-2.06737
228,-4.43806,10.3159,-2.22021
229,-21.5978,46.449,-0.0416771
230,-16.9394,48.2436,-0.630696
231,-6.64171,13.7835,-2.36349
232,-7.7267,18.5222,-2.54708
233,-24.3578,46.3262,0.247129
234,-18.9678,46.5816,-0.330549
235,-9.23784,19.4807,-2.3184
236,-7.38908,20.5229,-2.03823
237,-19.2427,41.2922,1.00277
238,-16.4183,46.7249,0.520535
239,-10.2805,21.73,-1.69035
240,-8.72971,21.0316,-1.86918
241,-24.3383,46.307,1.45715
242,-18.9884,46.6223,0.819415
243,-11.6106,21.7787,-1.59099
244,-15.9854,45.4632,-2.83844
245,-9.97123,21.0823,1.32022
246,-18.9889,46.6331,1.98941
247,-21.7671,46.8072,-2.43199
251,-24.5471,46.6944,-2.1832
252,-16.9489,48.2328,-1.82069
253,-10.7756,22.8049,6.68873
254,-18.0896,44.3884,8.67129
256,-1.91142,4.02875,-2.02495
258,-18.8374,46.761,-1.50061
259,-3.35426,6.69717,-2.06736
260,-4.40808,10.3359,-2.22021
261,-21.3978,46.4592,-0.0415914
263,-6.59175,13.8235,-2.36349
264,-7.65673,18.5423,-2.54706
265,-24.1578,46.3464,0.247208
266,-18.7778,46.6018,-0.330475
267,-9.16786,19.5008,-2.31838
268,-7.29907,20.513,-2.03818
269,-21.4184,46.5099,1.12837
270,-16.2484,46.7451,0.5206
271,-10.1805,21.7401,-1.69031
272,-8.66977,21.0916,-1.86919
273,-24.1283,46.3073,1.45725
274,-18.7884,46.6226,0.819507
275,-11.5707,21.8687,-1.59103
276,-15.7954,45.4634,-2.82836
278,-18.809,46.6733,1.98947
280,-9.37194,22.8812,-1.31068
282,-18.4188,45.685,3.96029
283,-24.3471,46.7246,-2.18313
288,-1.89143,4.03877,-2.02495
291,-3.33429,6.7272,-2.06737
292,-4.3681,10.356,-2.22021
293,-21.2078,46.4594,-0.0415038
295,-6.55178,13.8436,-2.36349
296,-7.58674,18.5523,-2.54703
297,-24.0079,46.4566,0.247205
298,-18.5878,46.612,-0.330394
299,-9.08785,19.4909,-2.30834
300,-7.22909,20.5331,-2.03816
301,-21.2284,46.5002,1.13846
302,-16.0584,46.7553,0.520681
303,-10.0805,21.7302,-1.68026
304,-8.56974,21.0617,-1.85912
305,-22.3349,43.1891,1.36011
306,-18.5984,46.6428,0.819582
307,-11.5208,21.9687,-1.60108
308,-15.6455,45.5235,-2.82833
309,-21.2493,46.5513,2.91842
310,-18.619,46.6735,1.98955
311,-21.0864,46.188,-2.40127
312,-9.27193,22.8613,-1.30062
314,-17.6271,44.1158,3.82168
315,-24.1271,46.7249,-2.17303
317,-9.52273,20.4758,5.99082
318,-8.45211,20.7357,4.03115
319,-21.4678,47.0183,-1.24199
320,-1.89143,4.03877,-2.02495
322,-9.24234,23.0018,-0.730697
323,-3.3143,6.73722,-2.06736
324,-4.33812,10.366,-2.2202
325,-21.0178,46.4796,-0.0414293
327,-6.5018,13.8636,-2.36348
328,-7.51676,18.5724,-2.53702
329,-23.7879,46.4468,0.247313
330,-9.29276,23.1521,-0.160818
331,-9.01791,19.541,-2.30834
332,-7.14908,20.5231,-2.03812
333,-21.0384,46.5104,1.12854
334,-15.8784,46.7655,0.520758
335,-9.97049,21.6804,-1.68017
336,-8.47972,21.0418,-1.85907
337,-22.175,43.2493,1.36014
338,-18.4184,46.653,0.819658
339,-11.4309,21.9888,-1.60105
340,-15.4755,45.5437,-2.82826
341,-21.0693,46.5915,2.91848
342,-18.439,46.6837,1.98963
343,-21.2172,46.9178,-2.43181
344,-9.18193,22.8614,-1.30058
345,-20.75,45.8639,6.1091
347,-23.9371,46.7451,-2.17295
349,-9.35251,20.296,5.92102
350,-9.30494,23.1751,4.49916
352,-1.86143,4.0388,-2.02494
354,-9.14231,22.9719,-0.730631
355,-3.2843,6.73726,-2.05735
356,-4.29813,10.3761,-2.22019
357,-20.8478,46.4998,-0.0413639
359,-6.45184,13.9037,-2.36348
360,-7.45679,18.6025,-2.54701
361,-23.618,46.487,0.247365
363,-8.92786,19.4911,-2.29827
364,-7.0691,20.5432,-2.03809
365,-20.8584,46.5105,1.12862
366,-15.7184,46.7757,0.520825
367,-9.90052,21.7104,-1.68016
368,-8.4298,21.1119,-1.85909
369,-23.5684,46.3979,1.45745
370,-18.2384,46.6531,0.819741
371,-11.3409,22.0089,-1.59102
372,-15.2955,45.5139,-2.82816
373,-20.8693,46.5617,2.90859
374,-18.259,46.6939,1.97971
375,-21.0472,46.948,-2.43175
376,-9.11197,22.9015,-1.30057
378,-17.4576,44.596,3.85144
379,-23.7471,46.7453,-2.17286
381,-8.82126,19.2663,5.61193
382,-9.21494,23.1752,4.4992
384,-1.84714,4.04898,-2.02484
386,-9.04772,22.9722,-0.730157
387,-3.25996,6.73746,-2.0572
388,-4.26375,10.3963,-2.22998
389,-20.6429,46.4904,-0.0403918
390,-16.0246,48.3249,-0.629462
391,-6.40743,13.9339,-2.37321
392,-7.39229,18.6028,-2.53662
393,-21.8397,43.3293,0.231077
394,-9.07809,23.0725,-0.160234
395,-8.85338,19.5414,-2.30789
396,-7.0046,20.5835,-2.03771
397,-20.6535,46.5312,1.12958
398,-15.5335,46.7762,0.531747
399,-9.80597,21.7108,-1.6597
400,-8.35529,21.1522,-1.85868
401,-23.3635,46.3885,1.44844
403,-11.2764,22.0593,-1.60059
404,-15.1406,45.5545,-2.8273
405,-20.6844,46.6023,2.90952
407,-20.5115,46.1891,-2.38014
408,-9.02743,22.9419,-1.30013
409,-11.1715,24.8325,3.2977
411,-23.5422,46.756,-2.16188
413,-8.72666,19.2466,5.60236
414,-9.13033,23.1954,4.48967
416,-1.82714,4.049,-2.02483
418,-8.96775,23.0023,-0.73014
419,-3.23999,6.76748,-2.06721
420,-4.23377,10.4163,-2.22998
421,-20.4529,46.5206,-0.0403247
423,-6.35746,13.964,-2.3732
424,-7.33234,18.6529,-2.53663
425,-21.4994,43.0297,0.221422
426,-8.98809,23.0726,-0.160193
427,-8.77339,19.5415,-2.29785
428,-6.92459,20.5636,-2.02766
