-913.94,-42.0717,-28.257
0.347302,0.937177,-0.0328681
-0.937695,0.346678,-0.0232744
-0.0104176,0.0389035,0.999189
0,-1.3075,4.27619,-2.05968
1,-33.4077,87.041,-1.60221
2,-7.58253,27.1928,-0.815101
3,-2.43448,7.06742,-2.06909
4,-3.07053,10.7181,-2.20839
5,-41.0663,125.039,0.0251121
7,-5.08574,15.1604,-2.46743
8,-6.24798,22.3617,-2.93607
9,-25.6894,66.8622,0.413543
10,-7.59239,27.2527,-0.15509
11,-8.02602,24.1436,-2.72558
12,-5.97369,26.2713,-2.50542
13,-50.4748,153.799,3.78101
15,-21.0032,63.788,-4.66745
16,-7.47308,26.8129,-2.25518
19,-26.6073,69.2441,-4.73595
20,-6.7199,29.702,-1.76475
22,-7.56239,27.1424,1.13489
23,-38.8443,118.268,-5.75628
24,-7.58258,27.2029,-1.4651
26,-7.35311,26.372,2.22473
27,-33.9065,88.3419,-3.83193
30,-6.88472,24.6711,4.66439
31,-40.0799,122.038,-2.9555
32,-1.2775,4.27616,-2.05968
33,-33.5164,88.2211,-1.62199
35,-2.41447,7.07739,-2.06909
36,-3.02052,10.7281,-2.2084
39,-5.03572,15.1803,-2.46743
40,-6.18791,22.4216,-2.93606
41,-33.5661,88.3608,0.548036
43,-7.96596,24.2035,-2.73558
44,-5.88358,26.3712,-2.51541
47,-20.8031,63.9178,-4.66745
48,-7.44281,27.0629,-2.28514
51,-26.457,69.574,-4.74591
52,-6.60991,29.6919,-1.76477
54,-7.49225,27.2624,1.1449
55,-36.9989,113.976,-5.5572
58,-7.3029,26.572,2.23476
59,-33.7161,88.7617,-3.84188
60,-6.61979,29.7318,-1.05476
63,-39.6298,122.108,-2.95554
64,-1.26749,4.28615,-2.05968
65,-33.6151,89.4312,-1.64177
67,-2.38447,7.07736,-2.06909
68,-2.9905,10.748,-2.2084
70,-6.5197,29.7516,-0.344765
71,-4.9857,15.2003,-2.46743
72,-6.12785,22.4816,-2.94606
73,-33.7146,89.6909,0.558281
75,-7.87589,24.2634,-2.73558
76,-5.8135,26.4512,-2.51541
78,-6.50963,29.7514,0.345234
79,-20.7624,64.5278,-4.70735
80,-7.34279,27.0828,-2.27514
83,-26.2268,69.7237,-4.75591
84,-6.50985,29.7418,-1.76477
87,-35.7317,111.394,-5.41777
92,-6.51978,29.7417,-1.05477
94,-7.48148,27.6016,5.20496
95,-39.1598,122.117,-2.95558
96,-1.24749,4.28612,-2.05968
97,-33.7138,90.6713,-1.66155
98,-34.0623,129.102,-3.85488
99,-2.36448,7.06734,-2.06909
100,-2.9505,10.748,-2.2084
101,-48.6254,153.577,0.0307886
102,-6.40969,29.7614,-0.344774
103,-4.92567,15.2202,-2.46743
104,-6.04778,22.5415,-2.94606
105,-33.7933,90.871,0.568492
107,-7.80583,24.3234,-2.73557
108,-5.73338,26.5611,-2.52539
110,-6.40962,29.7613,0.345226
111,-20.5423,64.6475,-4.71735
112,-7.23282,27.0527,-2.27516
115,-26.1064,70.1136,-4.77585
116,-6.42972,29.8617,-1.76476
118,-7.33208,27.4222,1.14491
119,-35.3615,111.524,-5.41779
120,-13.3675,50.3994,-2.72052
123,-34.8008,93.6029,-4.04094
124,-6.4197,29.8216,-1.05476
126,-7.43127,27.7916,5.23499
127,-38.7097,122.177,-2.95562
128,-1.24748,4.29612,-2.05968
129,-33.8124,91.9414,-1.68132
131,-2.33445,7.08731,-2.06909
132,-2.91049,10.758,-2.2084
133,-48.2246,154.267,0.0308678
134,-6.31956,29.8813,-0.344763
135,-4.86567,15.2201,-2.46744
136,-5.98772,22.6014,-2.95605
137,-33.862,92.1111,0.578713
139,-7.73575,24.3933,-2.74557
140,-5.64328,26.651,-2.53539
142,-6.29961,29.7712,0.345216
143,-20.362,64.8874,-4.72733
144,-7.14277,27.1026,-2.27516
147,-24.6299,66.872,-4.54656
151,-35.4895,113.434,-5.50744
153,-8.71171,27.5433,3.53507
155,-34.4507,93.7225,-4.04095
158,-7.18186,27.2613,5.12487
159,-38.2297,122.216,-2.94566
160,-1.21748,4.29609,-2.05969
161,-33.901,93.2015,-1.71109
163,-2.31443,7.10728,-2.06909
164,-2.87049,10.7579,-2.20841
167,-4.82565,15.2401,-2.46744
168,-5.89767,22.6413,-2.95605
169,-33.9905,93.4612,0.578959
171,-7.65569,24.4532,-2.74557
172,-5.57319,26.7409,-2.54538
175,-20.2017,65.1572,-4.7373
176,-7.07267,27.1925,-2.27515
179,-24.3698,66.9117,-4.54658
180,-14.8241,72.1413,-4.26662
183,-35.1193,113.584,-5.50746
185,-8.26293,26.4328,3.38483
186,-7.02238,27.0417,2.27482
187,-34.2103,94.0523,-4.05092
190,-6.53424,25.1007,4.71443
191,-37.7697,122.246,-2.9457
192,-1.1975,4.27607,-2.05969
193,-34.0296,94.5617,-1.73085
194,-35.6891,141.304,-4.21261
195,-2.29442,7.11726,-2.06909
196,-2.84048,10.7679,-2.20841
199,-4.76564,15.25,-2.46744
200,-5.83761,22.7013,-2.96605
201,-34.129,94.8314,0.589209
203,-7.58561,24.5231,-2.75556
204,-5.50306,26.8608,-2.54537
207,-19.9916,65.277,-4.7473
208,-7.01253,27.3224,-2.29514
211,-24.1397,66.9814,-4.54659
216,-12.7577,50.2187,-2.70061
217,-8.19287,26.4927,3.39484
218,-6.94232,27.1016,2.27482
219,-43.7206,121.583,-5.23522
222,-6.49401,25.3107,4.75447
223,-37.3396,122.285,-2.94573
224,-1.18748,4.29606,-2.05969
225,-43.33,121.822,-2.22522
227,-2.26442,7.11723,-2.06909
228,-2.79047,10.7778,-2.20841
229,-46.953,155.795,0.0310055
230,-31.3301,158.649,-1.85005
231,-4.71562,15.27,-2.46744
232,-5.76753,22.7712,-2.97604
235,-7.52554,24.5931,-2.75556
236,-5.42297,26.9408,-2.55536
238,-20.589,104.057,1.23946
239,-19.7915,65.4167,-4.74729
240,-6.93241,27.4323,-2.29512
243,-24.4082,68.4617,-4.63631
244,-14.3141,72.1707,-4.26667
248,-12.5877,50.2586,-2.70062
249,-8.34195,27.3329,3.495
251,-38.8041,109.067,-4.68787
253,-7.82345,25.6117,7.16465
254,-6.404,25.3206,4.74446
255,-37.0291,122.785,-2.95568
256,-1.17747,4.30605,-2.05969
257,-42.85,121.841,-2.22526
259,-2.23442,7.1172,-2.0691
260,-2.75045,10.7878,-2.20841
263,-4.65561,15.2799,-2.46745
264,-5.69746,22.8411,-2.97604
267,-7.43548,24.643,-2.76556
268,-5.34285,27.0507,-2.56535
271,-19.6112,65.7065,-4.76726
272,-6.86224,27.5923,-2.3151
275,-24.1581,68.5415,-4.63632
276,-14.054,72.2204,-4.26669
277,-8.1823,27.173,1.65495
283,-38.4339,109.287,-4.68787
285,-7.65367,25.4115,7.0946
286,-6.86149,27.601,5.1749
287,-37.1867,124.985,-3.00528
288,-1.16746,4.31604,-2.05969
289,-42.4,121.841,-2.22531
291,-2.21441,7.12718,-2.0691
292,-2.72044,10.7978,-2.20841
293,-35.6504,121.263,0.0239228
295,-4.6156,15.2899,-2.46745
296,-5.62739,22.901,-2.98604
299,-7.36541,24.7129,-2.76555
300,-5.26273,27.1606,-2.57534
303,-8.05276,27.0835,-1.96507
304,-6.78215,27.6722,-2.3151
307,-24.9648,71.6124,-4.84571
308,-13.804,72.2502,-4.26671
314,-7.36907,30.072,2.51537
315,-38.1734,109.717,-4.70782
317,-7.64336,25.6915,7.16465
318,-6.20407,25.2603,4.73443
319,-37.3544,127.076,-3.0549
320,-1.14746,4.31602,-2.05969
321,-41.94,121.91,-2.22534
323,-2.18439,7.14714,-2.0691
324,-2.69044,10.7977,-2.19842
325,-35.2203,121.373,0.023899
326,-29.441,157.787,-1.83039
327,-4.54559,15.2998,-2.46746
328,-5.55734,22.951,-2.98603
331,-7.30532,24.7928,-2.77554
332,-5.19263,27.2605,-2.58533
336,-6.72198,27.8321,-2.32508
339,-24.6648,71.552,-4.82575
340,-13.5539,72.2999,-4.26672
341,-7.97231,27.1628,1.63493
343,-7.97262,27.1533,-1.30507
346,-7.25903,30.1119,2.51537
347,-38.2518,111.187,-4.75756
348,-35.6751,191.334,-6.75398
349,-7.56331,25.7314,7.18464
350,-6.22356,25.7203,4.81451
352,-1.12747,4.30599,-2.05969
353,-41.4599,121.92,-2.21539
355,-2.16439,7.14712,-2.0691
356,-2.64043,10.8077,-2.19842
359,-4.49558,15.3097,-2.46746
360,-5.49726,23.0309,-2.99603
363,-7.21525,24.8627,-2.77554
364,-5.12251,27.3704,-2.59531
365,-7.85249,27.0928,0.644908
366,-18.91,103.125,1.22913
368,-6.65184,27.962,-2.33506
371,-24.5343,72.0119,-4.85568
372,-13.3139,72.3396,-4.26674
377,-7.73268,26.6622,3.39482
378,-7.12911,30.0317,2.51534
379,-38.4797,113.147,-4.8372
380,-35.0348,191.614,-6.76399
382,-6.21312,26.1203,4.88458
383,-7.84265,27.063,-0.645098
384,-1.11575,4.31605,-2.05964
385,-41.0101,121.989,-2.21449
387,-2.14272,7.15715,-2.06903
388,-2.59882,10.8177,-2.19833
390,-34.4352,192.112,-2.22247
391,-4.43404,15.3197,-2.45733
392,-5.4358,23.0908,-2.99583
395,-7.15381,24.9326,-2.78533
396,-5.03106,27.4903,-2.59508
397,-7.75119,27.0727,0.645114
398,-21.5917,120.207,1.43329
399,-7.74146,27.0531,-1.95489
400,-6.56041,28.0719,-2.34482
403,-24.2438,71.9813,-4.84516
404,-13.0433,72.3492,-4.26619
405,-7.70128,26.8924,1.61508
407,-7.74138,27.073,-1.30489
409,-7.78076,27.2122,3.46514
410,-7.00789,29.9915,2.50557
411,-38.5582,114.697,-4.89604
413,-7.80029,27.2715,7.59516
414,-6.01229,25.6601,4.79469
415,-7.7513,27.0829,-0.644884
416,-1.09575,4.31603,-2.05965
417,-40.5501,122.038,-2.20452
419,-2.11272,7.15712,-2.06903
420,-2.56881,10.8276,-2.19833
421,-7.67115,27.1627,0.00512278
423,-4.39402,15.3396,-2.45733
424,-5.36572,23.1608,-3.00583
