-919.23,-28.0576,-28.158
0.360576,0.932551,-0.0182862
-0.932678,0.360281,-0.0175704
-0.00979709,0.0233906,0.999678
0,-2.47487,3.77887,-2.03067
1,-14.9604,20.5296,-0.437093
3,-4.2986,6.21609,-2.06015
4,-5.84385,9.63375,-2.20952
5,-29.7089,45.777,0.00788611
7,-8.52871,12.7997,-2.35881
8,-10.5364,17.7966,-2.59791
9,-14.9202,20.4896,0.132897
10,-26.7293,45.9616,-0.292385
11,-12.5784,19.1335,-2.43752
12,-10.65,20.2164,-2.11757
13,-29.7089,45.8068,1.25789
14,-23.9194,46.1458,0.59736
15,-13.8614,21.1014,-1.74712
16,-12.2509,20.7739,-1.94733
17,-14.9001,20.4495,0.722889
18,-22.8689,39.2373,0.786295
19,-14.9505,20.5197,-1.6071
20,-11.8837,22.6244,-1.47711
21,-29.7287,45.8365,3.1679
22,-26.7891,46.0511,2.15763
23,-28.0352,43.1799,-2.38264
24,-26.3585,45.2925,-2.72252
26,-23.6005,40.5058,3.81654
27,-14.9304,20.4997,-1.0171
28,-11.9237,22.7143,-0.887092
30,-11.2576,19.0546,4.00233
32,-2.46487,3.77889,-2.03067
33,-14.8804,20.5797,-0.437094
35,-4.27863,6.23612,-2.06014
36,-5.80388,9.65381,-2.20952
37,-29.479,45.7873,0.00786463
39,-8.47877,12.8397,-2.35881
40,-10.4664,17.8267,-2.59792
41,-14.8503,20.5497,0.132898
42,-26.5293,45.9819,-0.292402
43,-12.5084,19.1336,-2.42753
44,-10.56,20.2165,-2.10758
45,-29.4889,45.8071,1.25787
46,-23.7195,46.1661,0.597343
47,-13.7915,21.1715,-1.74712
48,-12.1409,20.7641,-1.94734
49,-14.8302,20.5096,0.722891
51,-14.8906,20.5898,-1.60709
52,-11.8137,22.6645,-1.47711
53,-29.5188,45.8568,3.15788
54,-24.3432,42.1449,1.96685
55,-29.1183,45.2182,-2.48225
56,-26.1986,45.4027,-2.73252
57,-14.0115,21.5205,3.12295
59,-14.8705,20.5698,-1.0171
60,-11.8337,22.7244,-0.8871
62,-11.1877,19.0847,4.00233
63,-29.459,45.7575,-1.25214
64,-2.44487,3.77892,-2.02067
65,-14.8205,20.6598,-0.437089
67,-4.24865,6.24617,-2.06015
68,-5.77391,9.67386,-2.21952
69,-29.269,45.7976,0.00784514
70,-11.8039,22.8444,-0.287086
71,-8.43882,12.8698,-2.35881
72,-10.4165,17.8768,-2.59792
73,-14.7904,20.6098,0.132901
74,-24.4442,42.6451,-0.273074
75,-12.3884,19.1138,-2.41755
76,-10.47,20.2167,-2.10758
77,-29.2889,45.8274,1.25785
79,-13.7215,21.2116,-1.74712
80,-12.0609,20.7942,-1.94735
81,-14.7603,20.5697,0.732892
82,-26.3492,46.012,0.917584
83,-14.8407,20.6799,-1.61708
84,-11.7439,22.7546,-1.4771
86,-24.2836,42.385,1.97687
87,-28.5375,44.6591,-2.45239
88,-26.0287,45.463,-2.72252
89,-13.9717,21.6306,3.13296
91,-14.8406,20.6698,-1.02709
92,-11.7638,22.7745,-0.8871
94,-11.1478,19.1748,4.02234
95,-29.2892,45.8378,-1.25215
96,-2.4349,3.79893,-2.03067
97,-14.7707,20.7399,-0.437083
99,-4.22868,6.2662,-2.06015
100,-5.74396,9.70391,-2.21952
101,-29.049,45.818,0.00782605
102,-11.7039,22.8645,-0.287093
103,-8.39888,12.9099,-2.35881
104,-10.3465,17.8969,-2.59792
