-915.094,-39.1111,-28.2398
0.323022,0.945877,-0.0312008
-0.946304,0.322368,-0.0242479
-0.0128774,0.0373581,0.999219
0,-0.0810543,4.39292,-2.05214
1,-2.55998,32.3462,-0.571101
3,-0.367773,7.36324,-2.05309
4,0.0761227,10.9027,-2.17432
5,-1.16143,40.0248,-0.0138281
6,9.51074,132.673,-1.58594
7,-0.558857,15.4733,-2.40576
8,0.33823,21.9322,-2.78802
11,-0.826696,26.5335,-2.85939
13,-1.16135,39.9851,0.906185
14,6.93212,97.4063,1.08609
15,-1.09494,37.1439,-2.60288
16,0.673547,35.8118,-2.93267
17,-2.56966,32.4667,0.918861
18,1.26065,59.8825,1.00927
19,-2.55034,32.1957,-2.08105
20,5.55044,78.4459,-4.60744
22,3.94469,171.462,6.91191
23,-1.16176,39.9342,-1.8738
25,-0.864422,27.8656,3.40017
26,3.9559,171.744,13.9518
27,-2.55019,32.2459,-1.32107
29,-0.892729,28.8971,7.71983
30,0.612108,33.4649,6.07812
31,-1.16159,39.9845,-0.943815
32,-0.0710543,4.39291,-2.05215
33,-2.44001,32.316,-0.571106
34,4.55332,171.607,-5.04822
35,-0.337773,7.36321,-2.0531
36,0.106123,10.9027,-2.17433
37,-1.03139,40.0547,-0.0138547
38,9.96048,132.432,-1.58592
39,-0.498868,15.4633,-2.40576
40,0.408176,21.8822,-2.77801
41,-2.44983,32.3963,0.158869
42,4.55393,171.698,-1.04825
43,-0.736696,26.5334,-2.85941
45,-1.02137,39.965,0.906174
46,7.20104,96.426,1.07638
47,-0.974315,37.7137,-2.64309
48,0.803645,35.9017,-2.94271
49,-2.44975,32.3865,0.918872
50,4.55452,171.77,2.92172
51,-2.4403,32.2355,-2.08108
52,5.81027,78.2856,-4.59742
53,-1.02114,40.0154,2.30616
54,4.56534,172.051,6.94163
55,-3.37036,150.415,-7.05017
57,-1.02072,40.0963,4.89613
58,4.55593,171.773,13.9517
59,-2.44017,32.2658,-1.32109
61,-0.792295,29.277,7.82969
62,0.878032,38.7149,7.03635
64,-0.0510641,4.38289,-2.04214
65,-2.34,32.3259,-0.571122
67,-0.297773,7.36316,-2.0531
68,0.146123,10.9026,-2.17433
69,-0.891271,40.1645,-0.0139092
70,10.4203,132.302,-1.58593
71,-0.448878,15.4532,-2.39577
72,0.488132,21.8421,-2.77801
73,-2.32985,32.3762,0.15886
75,-0.656651,26.5733,-2.85943
76,2.56184,34.2996,-3.21241
77,-0.881274,40.0548,0.906126
78,7.55114,96.5156,1.07631
79,-0.853997,38.0036,-2.6632
80,1.09976,41.4912,-3.39461
81,-2.33971,32.4164,0.918848
83,-2.34009,32.4254,-2.09116
84,6.08022,78.2453,-4.59744
85,-0.89125,39.9153,2.29617
