-917.776,-31.7287,-28.1737
0.334958,0.941987,-0.0215277
-0.942183,0.334618,-0.0179481
-0.0097033,0.0262948,0.999607
0,-3.19412,3.27728,-2.04542
3,-5.40793,5.24298,-2.05797
4,-7.50353,8.14881,-2.18141
5,-43.3535,43.9616,-0.0565623
6,-36.5154,45.0342,-0.725723
7,-10.6382,10.5726,-2.30466
8,-14.0677,15.5257,-2.65048
10,-39.614,44.2785,-0.395838
11,-17.3013,17.3694,-2.63319
12,-15.7951,19.2826,-2.33466
14,-36.1749,44.6061,0.594793
15,-19.606,19.7256,-1.95615
16,-17.7559,19.679,-2.17559
17,-23.0294,21.0618,0.861591
18,-39.6345,44.3098,0.964126
19,-21.6662,19.7917,-1.88678
20,-32.9462,40.6087,-3.08038
21,-19.4667,19.5893,1.55403
22,-18.4182,20.4309,1.07349
23,-19.6964,19.8161,-1.31626
24,-37.6891,42.1196,-3.00318
25,-20.329,20.4696,3.48292
26,-32.9407,36.7757,3.95339
27,-23.2592,21.2692,-1.29868
32,-3.1541,3.26736,-2.0354
33,-23.1996,21.37,-0.56876
35,-5.38795,5.25302,-2.05798
36,-7.47356,8.16887,-2.18142
38,-36.3357,45.1645,-0.725801
39,-10.6083,10.6127,-2.31469
40,-14.0478,15.6057,-2.66056
41,-23.1396,21.2909,0.141335
42,-39.3541,44.309,-0.395796
43,-17.2214,17.4196,-2.63322
44,-15.7051,19.3228,-2.33467
46,-35.925,44.6466,0.594823
47,-19.4961,19.7558,-1.94615
48,-17.666,19.7192,-2.1656
49,-22.9395,21.1119,0.861566
50,-39.3846,44.3503,0.964156
51,-21.5863,19.8519,-1.88682
52,-32.7764,40.6991,-3.08042
53,-19.4269,19.6894,1.56394
54,-18.2782,20.4212,1.07354
55,-19.5864,19.8363,-1.31625
56,-38.0906,42.8688,-3.04403
58,-32.8911,36.9858,3.9632
59,-23.1192,21.2895,-1.29866
61,-21.8135,22.1514,8.24086
62,-16.8059,18.7474,4.52559
63,-19.6167,19.8769,-0.666299
64,-3.14412,3.27738,-2.03541
65,-23.0596,21.3903,-0.568741
67,-5.36799,5.27306,-2.05799
68,-7.45362,8.19891,-2.18144
69,-19.537,19.9377,-0.0263363
70,-36.0556,45.135,-0.725695
71,-10.5884,10.6627,-2.31474
72,-14.028,15.7057,-2.67065
73,-23.0097,21.3411,0.141321
74,-39.0941,44.3295,-0.395744
75,-17.1615,17.4797,-2.63326
76,-15.5851,19.303,-2.32462
77,-19.447,19.8485,0.603777
78,-35.6851,44.6671,0.594869
79,-19.4362,19.836,-1.95621
80,-17.5961,19.7793,-2.16564
81,-22.8797,21.2221,0.861475
82,-39.1246,44.3608,0.954217
83,-21.4764,19.8921,-1.88683
84,-32.5263,40.6896,-3.07035
85,-19.3871,19.7695,1.56387
86,-18.1582,20.4214,1.06357
87,-19.5065,19.8965,-1.30629
88,-37.6101,42.6298,-3.02366
90,-32.16,36.4171,3.89396
91,-23.0193,21.3397,-1.29868
93,-18.567,18.9465,7.02491
95,-19.5167,19.9071,-0.666301
96,-3.13412,3.2774,-2.03541
97,-22.9798,21.4605,-0.568788
99,-5.34803,5.2931,-2.058
100,-7.42366,8.21897,-2.18146
101,-19.437,19.9779,-0.0263482
102,-35.8357,45.1755,-0.715673
103,-10.5485,10.7128,-2.31477
104,-14.0382,15.8157,-2.68076
105,-22.9399,21.4212,0.141262
106,-38.8442,44.36,-0.395705
107,-17.0916,17.5298,-2.63329
108,-15.4851,19.3233,-2.31461
109,-19.3771,19.9086,0.603737
110,-35.4551,44.6875,0.594913
111,-19.3664,19.8961,-1.94625
112,-17.456,19.7496,-2.16558
113,-22.86,21.3521,0.861352
114,-38.8746,44.3912,0.954257
115,-21.3364,19.9124,-1.87681
