-913.429,-43.2999,-28.2694
0.356298,0.933756,-0.0339334
-0.93431,0.355619,-0.0245107
-0.0108196,0.0404374,0.999123
0,-1.99072,4.02717,-2.07086
1,-28.2646,47.0273,-0.960108
2,-32.4662,68.4088,-2.21248
3,-3.60975,6.56779,-2.08142
4,-4.81841,9.99824,-2.20193
5,-28.3926,52.9474,-0.0105031
6,-33.4519,80.4292,-1.02346
7,-7.53685,13.9293,-2.45286
8,-9.88416,20.7001,-2.90387
9,-28.3649,47.1874,0.289857
10,-32.6065,68.7089,-0.45253
11,-12.0236,22.331,-2.7245
12,-10.2328,24.4703,-2.47418
14,-33.5223,80.6094,0.98651
15,-27.1525,50.6266,-4.02005
18,-23.9838,50.4957,0.950758
20,-27.9361,67.1269,-4.24126
21,-28.3335,52.8476,3.46952
22,-25.5129,53.7264,2.40017
24,-31.0669,65.4582,-3.80194
25,-12.055,22.3713,3.09549
27,-28.2643,47.0172,-2.24011
28,-33.6612,80.9492,-3.07355
30,-12.9638,27.2018,5.47496
32,-1.99072,4.02717,-2.07086
33,-28.0746,47.0572,-0.960062
34,-32.5259,69.1288,-2.23254
35,-3.58974,6.59778,-2.08142
36,-4.7884,10.0282,-2.20193
37,-28.2326,53.0673,-0.0104701
38,-33.5315,81.3893,-1.03354
39,-7.50683,13.9693,-2.45285
40,-9.81414,20.7401,-2.90385
41,-28.2548,47.3473,0.299875
42,-32.6662,69.419,-0.452589
43,-11.9536,22.3609,-2.72449
44,-10.1628,24.5203,-2.47417
45,-24.1158,45.3058,1.17104
46,-27.1679,65.8869,0.799013
47,-27.2023,51.1267,-4.05009
48,-11.9526,25.291,-2.28467
49,-13.9541,23.3019,0.76495
50,-24.9229,52.9261,1.00037
51,-13.9934,23.3818,-1.74507
52,-27.5862,66.9068,-4.22116
53,-24.516,46.0561,3.0109
54,-12.0533,25.5112,1.12529
55,-31.3995,59.0383,-3.12163
56,-32.2656,68.5886,-3.98244
58,-12.0337,25.4513,2.2753
61,-12.0859,22.6216,6.84546
62,-12.3142,26.0416,5.2352
63,-31.9395,60.0586,-1.59183
64,-1.96071,4.03716,-2.07085
66,-29.5481,63.3677,-2.04143
67,-3.55973,6.61777,-2.08141
68,-4.75839,10.0482,-2.21192
70,-33.5811,82.3793,-1.04361
71,-7.44682,13.9992,-2.45284
72,-9.74413,20.7801,-2.90384
74,-29.6784,63.6678,-0.411484
75,-11.8636,22.4109,-2.72447
76,-10.0728,24.5702,-2.47415
77,-23.8458,45.1957,1.16112
78,-25.0995,61.5162,0.749801
79,-27.2221,51.6067,-4.08013
80,-11.8526,25.3209,-2.28464
81,-13.924,23.4619,0.774948
82,-24.543,52.606,0.990487
83,-13.8934,23.4117,-1.74504
84,-27.3362,67.0167,-4.2211
85,-30.2918,57.4683,3.75874
87,-31.2794,59.3483,-3.13162
91,-13.9236,23.4518,-1.11505
93,-11.9159,22.5015,6.79551
94,-11.9344,25.4714,5.10533
95,-31.9493,60.6286,-1.60187
96,-1.95071,4.03716,-2.07085
97,-13.8837,23.5618,-0.475048
99,-3.53973,6.61776,-2.08141
100,-4.73839,10.0582,-2.21192
101,-31.9495,61.0787,-0.0118971
102,-33.7007,83.3893,-1.05371
103,-7.40682,14.0192,-2.45283
104,-9.67411,20.8101,-2.90382
105,-13.8738,23.5418,0.134955
106,-26.4009,57.0866,-0.370255
107,-11.7935,22.4509,-2.72445
108,-10.0128,24.6202,-2.48414
109,-23.3461,44.5955,1.15128
110,-33.7512,83.5395,1.01627
111,-27.2619,52.1067,-4.11017
112,-11.8025,25.4309,-2.28464
114,-11.9431,25.7211,0.475308
115,-13.8234,23.4517,-1.74503
116,-27.0562,66.9466,-4.21102
117,-24.2359,46.296,3.02095
118,-11.8833,25.5811,1.12533
119,-30.9395,59.1581,-3.11153
123,-13.8435,23.5017,-1.11503
126,-11.8943,25.6114,5.12533
127,-32.0091,61.1986,-1.61192
128,-1.93071,4.04715,-2.07084
129,-13.7937,23.5818,-0.475027
131,-3.51973,6.62776,-2.0814
132,-4.69838,10.0782,-2.21191
133,-31.9893,61.6887,-0.0119445
134,-33.7803,84.4694,-1.06379
135,-7.3668,14.0592,-2.45282
136,-9.6041,20.84,-2.9038
137,-13.7938,23.5918,0.134972
139,-11.7335,22.4908,-2.72444
140,-9.94274,24.7002,-2.48413
141,-23.3459,44.9555,1.15126
142,-26.0182,65.0065,0.789356
143,-27.3017,52.6267,-4.15021
144,-11.7325,25.5009,-2.29463
145,-13.704,23.4518,0.765004
147,-13.7734,23.5617,-1.73502
148,-26.7962,66.9665,-4.20096
149,-30.2615,58.3183,3.7987
150,-11.8233,25.6911,1.13534
151,-30.8993,59.5781,-3.13154
152,-11.7627,25.5709,-1.47464
154,-11.8036,25.6512,2.28535
155,-13.7735,23.5617,-1.11502
158,-11.7244,25.4713,5.09538
159,-32.0588,61.7987,-1.62197
160,-1.93071,4.04715,-2.07084
161,-13.6937,23.6217,-0.465004
162,-11.6828,25.6409,-0.814622
163,-3.48972,6.63774,-2.08139
