-917.587,-32.2248,-28.1765
0.331862,0.943086,-0.0213503
-0.943275,0.331519,-0.0180694
-0.00996293,0.0261357,0.999609
0,-3.26973,3.18892,-2.03077
1,-50.088,43.5298,-1.14906
2,-42.1096,44.4833,-1.76888
3,-5.55294,5.08506,-2.0507
4,-7.71774,7.92142,-2.17056
5,-45.5682,43.6574,0.00101992
6,-38.1295,44.42,-0.668817
7,-10.9017,10.246,-2.29047
8,-14.3897,15.0102,-2.61023
9,-49.8276,43.3001,0.370931
10,-41.6688,44.014,-0.348897
11,-17.8931,16.9943,-2.63017
12,-16.5567,19.1165,-2.34002
13,-45.5883,43.6872,1.45102
14,-38.0894,44.35,0.66118
15,-20.6175,19.6196,-1.97005
16,-18.6173,19.503,-2.18002
17,-49.7575,43.2402,1.90093
18,-41.6788,44.0239,1.0411
19,-22.7776,19.666,-1.91008
20,-34.6726,40.366,-3.08901
21,-20.1969,19.2101,1.59993
23,-37.9057,36.2905,-2.42931
24,-39.3346,41.5381,-2.98901
29,-19.2654,18.3014,7.05989
32,-3.23972,3.17897,-2.03077
33,-50.0785,43.8398,-1.14904
35,-5.54299,5.11508,-2.05069
36,-7.69779,7.95145,-2.17055
37,-45.2683,43.6879,0.0010265
38,-37.8695,44.4104,-0.668813
39,-10.8718,10.2961,-2.29046
40,-14.3699,15.1002,-2.62023
41,-49.5077,43.3207,0.370937
42,-41.3888,44.0245,-0.348892
43,-17.8332,17.0444,-2.62016
44,-16.4366,19.0867,-2.33002
45,-45.3083,43.7177,1.45103
46,-37.8395,44.3904,0.661186
47,-20.4775,19.6199,-1.97005
48,-18.5574,19.5731,-2.18002
49,-49.4576,43.2807,1.89094
50,-41.4189,44.0543,1.04111
51,-22.5876,19.6363,-1.90008
52,-34.4326,40.3564,-3.07901
54,-19.2588,20.3317,1.12002
55,-37.9562,36.5804,-2.43929
56,-38.5637,40.9994,-2.93903
57,-21.1988,20.3183,3.56998
61,-27.97,26.8865,10.3403
67,-5.51301,5.12513,-2.05069
68,-7.66782,7.9715,-2.17055
69,-44.9983,43.7283,0.00103322
70,-37.6496,44.4708,-0.668806
71,-10.8518,10.3461,-2.29046
72,-14.35,15.1802,-2.62022
73,-49.1977,43.3512,0.370944
74,-41.1389,44.0549,-0.338886
75,-17.7833,17.1144,-2.63016
76,-16.3767,19.1668,-2.33001
77,-45.0084,43.7382,1.44103
78,-37.5895,44.4008,0.661191
79,-20.3375,19.6101,-1.96004
80,-18.4374,19.5733,-2.18002
81,-23.9098,20.9439,0.90998
82,-41.1689,44.0847,1.04112
83,-22.4576,19.6665,-1.90007
84,-34.2126,40.3867,-3.069
85,-20.007,19.3004,1.58994
86,-19.1488,20.3519,1.12002
91,-40.5046,35.646,-2.18939
93,-27.8501,26.9467,10.3303
96,-3.22977,3.20899,-2.04077
99,-5.50304,5.14515,-2.05069
100,-7.64787,8.00153,-2.17055
101,-44.7284,43.7388,0.0010381
102,-37.4897,44.5711,-0.668797
103,-10.8219,10.3762,-2.29046
104,-14.3401,15.2603,-2.63022
105,-48.9178,43.3917,0.360951
106,-40.8789,44.0653,-0.338881
107,-17.7434,17.1845,-2.63015
108,-16.2968,19.1769,-2.33001
109,-44.7484,43.7587,1.44104
110,-37.3595,44.4112,0.661195
111,-20.2175,19.6303,-1.95004
112,-18.3275,19.5835,-2.17001
114,-40.9089,44.0852,1.03112
115,-22.3176,19.6667,-1.89007
116,-34.0227,40.4271,-3.05899
117,-20.0273,19.4404,1.59995
118,-19.0288,20.3521,1.11002
120,-38.1038,41.0502,-2.91902
122,-36.5109,39.3224,4.3509
128,-3.21978,3.219,-2.04077
131,-5.48308,5.16518,-2.05069
132,-7.61792,8.03158,-2.17055
133,-20.308,19.86,-2.92922e-05
134,-37.1697,44.5216,-0.668795
135,-10.792,10.4262,-2.29045
136,-14.2903,15.3303,-2.63021
138,-40.609,44.1058,-0.338875
139,-17.6735,17.2546,-2.63015
140,-16.1968,19.2171,-2.33
142,-37.1096,44.4616,0.661202
143,-20.0976,19.6605,-1.95004
144,-18.2376,19.6437,-2.17001
145,-23.6099,20.9744,0.899986
146,-40.639,44.1356,1.03113
147,-22.2377,19.7369,-1.89007
148,-33.8428,40.5074,-3.05899
149,-20.0175,19.5704,1.60996
150,-18.9088,20.3723,1.11002
151,-20.2178,19.7703,-1.30003
152,-39.3065,42.6781,-3.02894
154,-33.2254,36.038,3.97075
155,-23.8402,21.1641,-1.29001
158,-17.2859,18.6049,4.58994
160,-3.1998,3.22904,-2.03077
161,-23.7804,21.2842,-0.549997
163,-5.47311,5.1852,-2.05069
164,-7.58797,8.06164,-2.17055
166,-36.9698,44.6019,-0.668787
167,-10.7721,10.4763,-2.30045
168,-14.2704,15.4004,-2.64021
169,-23.7103,21.2143,0.169999
170,-40.369,44.1362,-0.338869
171,-17.6036,17.2948,-2.63014
172,-16.0768,19.2073,-2.32
173,-20.0678,19.7604,0.639968
174,-36.8696,44.472,0.661206
175,-20.0377,19.7306,-1.95003
176,-18.1576,19.6938,-2.17001
177,-23.52,21.0445,0.899992
178,-40.3791,44.1661,1.03113
179,-22.1378,19.777,-1.89006
180,-33.6429,40.5577,-3.05898
181,-19.9877,19.6905,1.60997
182,-18.839,20.4424,1.11003
